"name_common","councildistrict","address_provided","assettype","assettype_notes","live_music","event_venue","capacity","discipline","discp_note","website","web_notes","zip","camp_id","year_updated","location_1"
"Perch CoWorking","3","yes","Artist Studios/ Workshops","Coworking"," ",," ","Multidisciplinary"," ","perchcoworking.com","0","0","146","2016","2235 E 6th St
,  0
(30.259893, -97.718243)"
"Stompin' Grounds Coffee & Cocktail Lounge","3","yes","Restaurant","Restaurant","Live Music",," ","Music","Folk/Acoustic","http://www.stompingroundsaustin.com/","Stompin Grounds Coffee And Cocktail Lounge is a locally owned business with a committment to support local business and local artists.","78704","1300","2016","3801 S Congress Ave
Austin, TX 78704
(30.225946, -97.762147)"
"Key Bar","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.keybaraustin.com/","Key Bar is located in the heart of downtown Austin. Established in 2006, it has quickly become one of the city's hot spots. Enjoy one of the specialty drinks from the full service bar, chill with friends, watch the game, or do some ""6th street peopl","78701","309","2016","617 West 6Th Street
Austin, TX 78701
(30.269426, -97.748727)"
"Velvet Spade","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.atxnightlife.com/velvet_spade.html","The Velvet Spade is located in Downtown Austin and features a variety of musical performances and drinks.","78701","343","2016","912 Red River Street
Austin, TX 78701
(30.269529, -97.736399)"
"Shirley Mcphail School Of Dance, Mesa Studio","10","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78731","1916","2014","8018 Mesa Dr
Austin, TX 78731
(30.369973, -97.758436)"
"Amphitheater/Mueller Lake Park","1","yes","Theater","Theater","Live Music",," ","Multidisciplinary","Theater/Dance/Music","http://www.muelleraustinonline.com/","Open air amphitheater and stage","78723","1665","2016","4550 Mueller Blvd
Austin, TX 78723
(30.306657, -97.68314)"
"Iron Cactus North","7","yes","Restaurant","Restaurant","Live Music",,"520","Music","Pop","http://www.ironcactus.com/","Iron Cactus North presents live music through an in-house PA system every Thursday and Friday evening.  Cover is typically $5.  We have a capacity of 520 and we book local bands such as Vallejo and many others.  The Iron Cactus is also a ful service rest","0","3377","2016","10001 Stonelake Blvd.
Austin, TX 0
(30.391549, -97.738586)"
"Waterloo Ice House","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"120","Music","Folk/Acoustic, Rock","http://www.waterlooicehouse.com/","Waterloo Ice House is a dining location and live music venue.  ""Serving great food since the hippies showed up."" The first Waterloo Ice House opened its doors on Congress Avenue in 1976. A casual neighborhood gathering spot serving hot, handmade meals an","78703","896","2016","600 North Lamar Blvd.
Austin, TX 78703
(30.271964, -97.75426)"
"The Local Pub and Patio","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.thelocalpubandpatio.com/","The Local Pub and Patio caters to college students, faculty and staff of UT, as well as the local Austinite searching for a comfortable neighborhood hangout. We offer a warm, inviting atmosphere, and a patio outside that offers a great place to relax on","78705","1340","2016","2610 Guadalupe
Austin, TX 78705
(30.291539, -97.741572)"
"Christensen Oko Prototype","3","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Craft/Design"," Scuplture/Ceramics"," "," ","78745","2284","2014","500 W Saint Elmo Rd
Austin, TX 78745
(30.220733, -97.771571)"
"Texas Highway Patrol Museum","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Other"," "," "," ","78701","432","2014","704 W 9Th St
Austin, TX 78701
(30.273024, -97.748445)"
"Lazy Lizard","5","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"400","Music","Rock","http://www.lazylizardaustin.com/"," ","78702","647","2016","1504 East Sixth Street
Austin, TX 78702
(30.26339, -97.72704)"
"Austin School Of Classic","7","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78756","2874","2014","4624 Burnet Rd
Austin, TX 78756
(30.317172, -97.740824)"
"Createscape","3","yes","Artist Studios/ Workshops","Coworking"," ",," ","Multidisciplinary"," ","http://createscapework.co/","0","0","139","2016","701 Tillery St
,  0
(30.2583, -97.705392)"
"Link Coworking","7","yes","Artist Studios/ Workshops","Coworking"," ",," ","Multidisciplinary"," ","http://www.linkcoworking.com/","ink offers open plan coworking, small meeting room spaces, conference room rentals, two options for office space, dedicated desk space and event space.","78757","2941","2016","2700 WEST ANDERSON LANE
Austin, TX 78757
(30.359103, -97.734321)"
"Hotel Vegas","3","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.hotelvegasaustin.com/","Hotel Vegas Bar is located in the heart of the east sixth street arts + entertainment district on the east end of the Salinas Building, next to neighboring sister bar The Volstead Lounge. Hotel Vegas Bar will offer Live Music and DJ's Wednesday to Saturd","78702","648","2016","1500 East 6Th Street
Austin, TX 78702
(30.263636, -97.7274)"
"Nudge Collective","3","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Visual Arts"," ","nudgecollective.com","0","0","145","2016","916 Springdale Rd
,  0
(30.261871, -97.698289)"
"Stay Gold","5","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"80","Music"," ","http://staygoldaustin.com/","Stay Gold features local draft beers, a variety of Texas and international wines and seasonal craft cocktails in addition to a full patio and new food trailer Toaster, operated by Hannah Love, former pastry Sous Chef at Perla’s Seafood & Oyster Bar, Je","78702","655","2016","1910 East Cesar Chavez
Austin, TX 78702
(30.257077, -97.723708)"
"TexARTS Studios","0","yes","Artist Studios/ Workshops","Studio Complex"," ",,"4","Multidisciplinary"," 3 dance studios, 3 music rooms ,2 acting studios, 1 visual arts room
","www.tex-arts.org","TexARTS promotes, educates, produces, and presents visual and performing arts events of the highest caliber for Austin's Lake Region.","78734","2018","2016","2300 Lohman'S Spur
Austin, TX 78734
(30.343479, -97.973394)"
"The Ginger Man Pub | Austin","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music","Blues, Rock","http://aus.gingermanpub.com/","The Austin Ginger Man has been serving fine beers since 1994. The third member of the Ginger Man family, the Austin bar has high, expansive ceilings as well as cozy snugs. Like the other Ginger Man pubs, there is an outside beer garden perfect for enjoyi","78701","304","2016","301 Lavaca Street
Austin, TX 78701
(30.266132, -97.745825)"
"Cement Loop","4","yes","Artist Studios/ Workshops","Studio Complex"," ",,"10","Visual Arts"," ","http://www.cementloop.com/","0","0","138","2016","5811 Berkman Dr
,  0
(30.311918, -97.693441)"
"Reagan Performing Arts Center","1","yes","Theater","Theater"," ",," ","Theater Arts"," "," ","The Reagan Performing Arts Center hosts many community events including theater and music performances.","78752","2750","2016","7104 Berkman Drive
Austin, TX 78752
(30.32411, -97.689897)"
"Art Plus Artisans Consulting","3","yes","Business","Service"," ",," ","Visual Arts"," ","http://artplusartisans.com/","guides clients through the art process, from research through procurement and installation. As Texas-based art consultants serving design firms and the corporate community, we present clients with art that strengthens their brand and supports their design concept.","78702","746","2014","2401 E 6th St
Austin, TX 78702
(30.25911, -97.715979)"
"Flamingo Cantina","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.flamingocantina.com","Flamingo Cantina is a embassy of Caribbean sounds that occasionally plays rock and roll.

<b>Hours:</b> Tuesday-Saturday 8:30pm-2:00am, special shows on Sundays and Mondays.","78701","302","2016","515 East 6Th Street
Austin, TX 78701
(30.266472, -97.738175)"
"Parish","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","www.theparishroom.com","The Parish room is one of the most adored live music venues in the Country, by fans & artists alike, housing arguably the best indoor sound in all of Texas. The Parish has physical character, hardwood floors, and a great musical history. It has attracted","78701","323","2016","214 East 6Th Street
Austin, TX 78701
(30.267898, -97.741184)"
"Enhanced Space","7","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Visual Arts"," "," "," ","78757","2952","2014","1506 Princeton Ave
Austin, TX 78757
(30.350036, -97.723245)"
"Tiniest Bar in Texas","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.tiniestbarintexas.com","""There's nothing TINY about it!"" Female, 100 years old, AUSTIN, Texas , USA. It's right downtown: 817 W 5th Street @ Bowie across the street from Whole Foods downtown. Offering up great drinks, laid back atmosphere, dirt cheap HAPPY HOUR, kick-","78703","895","2016","817 W 5Th St
Austin, TX 78703
(30.269202, -97.751844)"
"Off Center","3","yes","Theater","Theater"," ",," ","Theater Arts"," "," ","The Off Center is a multi-arts space dedicated to confounding the boundaries that separate artistic genres by creating a community center for artists of all disciplines.  The Center hosts a variety of community and cultural events, ranging from dance to","78702","861","2016","2211 Hidalgo Street
Austin, TX 78702
(30.260901, -97.718189)"
"Big Medium (Bolm)","3","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","www.bigmedium.org","Big Medium hosts art events and open studios around the year for up-and-coming artists all over Austin and the United States.



This project is funded and supported in part by a grant from the Texas Commission on the Arts and in part by the City of Aust","78721","1581","2014","5305 Bolm Rd
Austin, TX 78721
(30.258707, -97.690712)"
"Knott Garden","8","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Visual Arts"," ","http://www.knottgarden.com/"," ","78749","2507","2016","4300 Dos Cabezas Dr
Austin, TX 78749
(30.214392, -97.843288)"
"SoCo Industrial Arts Studios","3","yes","Artist Studios/ Workshops","Studio Complex"," ",,"4","Multidisciplinary"," ","socoia.com","0","78704","1081","2016","209 E Ben White Blvd
Austin, TX 78704
(30.222739, -97.763072)"
"Shakespeare's Pub","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.shakespearepub.com","The Shakespeare Pub & Grill was established in 1990 with the atmosphere of a local British pub that was easy to find with a good selction of beer, a place to meet  interesting people, to have a bite to eat, and not to break into a sweat when the check ar","78701","334","2016","314 East 6Th Street
Austin, TX 78701
(30.267599, -97.740097)"
"Banger's Sausage House and Beer Garden","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"200","Music","Bluegrass, Country, Folk/Acoustic","http://www.bangersaustin.com/","Banger's Sausage House & Beer Garden is a new restaurant, bar and music venue coming to the Rainey Street District of downtown Austin Texas in the summer of 2012","78701","279","2016","79 Rainey Street
Austin, TX 78701
(30.25886, -97.738364)"
"Positive Images","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78703","943","2014","1118 W 6Th St
Austin, TX 78703
(30.27245, -97.755522)"
"Dogwood","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"200","Music","Folk/Acoustic, Rock","http://www.thedogwoodaustin.com/","The Dogwood's patio may be the main feature of our bar but we offer space for over 200 people on the inside of our bar as well. We have two custom made booths for groups, a small live music stage and custom made furniture throughout. We separate the two","78701","296","2016","715 West Sixth Street
Austin, TX 78701
(30.26989, -97.750362)"
"Yard Dog Folk Art","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78704","1218","2014","1510 S Congress Ave
Austin, TX 78704
(30.24861, -97.75047)"
"Saint Albert the Great Catholic Church","4","yes","House of Worship","House of Worship","Live Music",," ","Other"," House of Worship","http://www.saintalbert.org/","Saint Alber the Great Catholic Church is a venue for community events like music and theater.","78758","3134","2016","14041 Bittern Hollow
Austin, TX 78758
(30.378845, -97.711093)"
"Stubb's Bar-B-Que","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," Music","http://www.stubbsaustin.com/music_home.html","In the 1970's, Stubb's restaurant became the heart of an explosive music scene. Stubbs was ground zero for musicians like Joe Ely and Stevie Ray Vaughn. Other famous musicians who would ""play for their supper"" included Muddy Waters, John Lee Ho","78701","339","2014","801 Red River Rd
Austin, TX 78701
(30.268275, -97.736175)"
"Rawhide Trail Concerts","0","no","Event/ Festival","House Concerts","Live Music",,"60","Music","Americana, Blues, Folk/Acoustic","http://www.rawhidetrailconcerts.com/","Rawhide Trail Concerts is a house concert series held in the Austin-area home of Dino and Leslie Jobe. An alternative to going to a commercial music venue like a restaurant or bar, our house concert presents an intimate setting ideal for listening, and","0","3373","2016","
Austin, TX 0
(0.0, 0.0)"
"El Leon's Bar","3","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," Music"," "," ","78702","592","2014","1910 E Cesar Chavez
Austin, TX 78702
(30.257077, -97.723708)"
"Blanton Museum of Art | ""B scene"" concert series","9","yes","Event/ Festival","Event/ Festival","Live Music",," ","Music"," ","http://blantonmuseum.org/experience_the_blanton/b_scene/","The University of Texas at Austin's Blanton Museum of Art holds public events called ""B scene at The Blanton"". This concert series features all genres of musical acts. The Blanton Museum of Art is committed to being a center of excellence, knowledge and","78712","1457","2016","200 East Martin Luther King Jr. Boulevard
Austin, TX 78712
(30.280986, -97.737531)"
"La Palapa","1","yes","Restaurant","Restaurant","Live Music",,"140","Music","Country","http://www.lapalapaaustin.com/","La Palapa is a Mexican restaurant/cantina with great food at great prices. Everything is made from scratch and the cantina provides a fun and friendly atmosphere. Home of the 20 oz Palooza margarita with a large selection of domestic and imported beer. W","78723","1734","2016","6640 Highway 290
Austin, TX 78723
(30.322192, -97.693137)"
"Tapestry Dance Studios","5","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," ","http://www.tapestry.org","Tapestry Dance Company is a professional, non-profit dance organization created in 1989 by rhythm tap dancer Acia Gray and ballet/jazz artist Deirdre Strand; they wished to develop a foundation in multi-form dance performance and education.  Initially a","78745","2291","2016","2302 Western Trails Boulevard
Austin, TX 78745
(30.230643, -97.794721)"
"Roy Lozano Ballet Folklorico De Texas","1","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance","http://www.rlbft.org","Roy Lozano's award winning Ballet Folklorico de Texas has a highly versatile repertoire containing traditional, authentic dance styles as well as modern interpretation of present-day Mexican folk themes. A much beloved group.
This project is funded and s","78723","1687","2014","1928 Gaston Place Dr
Austin, TX 78723
(30.312591, -97.688081)"
"Hyde Park Electric Gallery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://austinfigurativegallery.com","Art Gallery specializing in abstract art.","78751","2657","2016","4403 Guadalupe
Austin, TX 78751
(30.30965, -97.733352)"
"Art Gallery at Soma Vida","3","yes","Gallery/ Museum","Gallery/ Museum"," ","Event Venue"," ","Visual Arts"," ","somavida.net","This light filled space gathering space is perfect for your next social event, art opening, workshop or gathering. The Gallery is a spacious 700 sq ft and can accommodate 100 seated, lecture style. evening & weekend rentals. Book arrival/setup time.","0","174","2016","2324 E Cesar Chavez St
Austin, TX 0
(30.255382, -97.718804)"
"Helm Fine Arts Center","0","yes","Theater","Theater"," ",," ","Theater Arts"," Theater","http://www.sstx.org/experiment.php?page=theatrefacility","This is a sterling arts venue, but what really makes the Helm such a swell destination for an arts night out is walking around the building and suddenly seeing the land drop away toward the Colorado River below, and layers of rolling hills on the far sho","78746","2453","2014","2900 Bunny Run
Austin, TX 78746
(30.334835, -97.814871)"
"Albert Ice House & Dance Hall","8","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"300","Music","Country, Folk/Acoustic","http://www.alberttexas.com/","In March of 2003, Robert L. Cave, a business owner/singer-songwriter from Austin, purchased the little town of Albert with the dream of one day resurrecting the old general store and still standing dancehall. Being a frequent visitor to Luckenbach, Cave","78671","243","2016","6705 Highway 290 West
Stonewall, TX 78671
(30.233078, -97.865427)"
"Frank","9","yes","Restaurant","Restaurant","Live Music",,"270","Music","Folk/Acoustic, Rock","http://www.hotdogscoldbeer.com/","Frank is a restaurant serving gourmet sausage and beer in a 3,500 square foot building located in downtown Austin. The venue hosts a full calendar of music events featuring local artists. Every Monday at Frank is ""Metal Monday"" which features rock music","78701","540","2016","407 Colorado Street
Austin, TX 78701
(30.266899, -97.744307)"
"Joyce Willett School Of Dance (Research Studio)","6","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78759","3176","2014","12687 Research Blvd
Austin, TX 78759
(30.432409, -97.764407)"
"Little Wing Of Austin","7","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78757","2940","2014","2525 W Anderson Ln
Austin, TX 78757
(30.357367, -97.733853)"
"Dance Xplosion","8","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78749","2516","2014","9600 Escarpment Blvd
Austin, TX 78749
(30.21162, -97.85184)"
"Austin Childrens Museum/ The Thinkery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Other"," Museum","https://thinkeryaustin.org","Museum for kids, educ & cultural","78723","1663","2014","1830 Simond Ave
Austin, TX 78723
(30.296882, -97.704035)"
"Bolm Studios","3","yes","Artist Studios/ Workshops","Studio Complex"," ",,"50","Multidisciplinary"," ","https://www.facebook.com/bolmrdstudios/info/","0","0","137","2016","5305 Bolm Rd
,  0
(30.258553, -97.691662)"
"Tree of Life International Center","6","yes","Theater","Theater"," ",," ","Theater Arts"," ","http://www.treeoflifeintl.com","Tree of Life International Center is a Christian worship organization as well as a cultural arts venue.","78729","1888","2016","8863 Anderson Mill Road Suite 118
Austin, TX 78729
(30.453585, -97.774135)"
"Lucky Lounge","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.theluckylounge.com","One of Austin's most popular neighborhood Bars, the Lucky Lounge features 60's modern furnishings, a unique raised back bar, friendly and attentive staff, refreshing cocktails, daily music specials, and an eclectic crowd of people from a wide range of ba","78701","316","2016","209 A West 5Th Street
Austin, TX 78701
(30.267445, -97.745332)"
"Courtney Gray Arts","3","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Textile/Apparel"," Textile/Apparel"," "," ","78702","625","2014","628 Allen St
Austin, TX 78702
(30.257075, -97.70506)"
"Cathedral of Junk","3","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.roadsideamerica.com/story/7816","The Cathedral of Junk stands quietly in the backyard of a small house on a suburban street on the south side of Austin. Unlike other busybody constructions that we've visited -- the Forevertron, the Garden of Eden, the Orange Show -- this one blends with","0","177","2016","4422 Lareina Dr
Austin, TX 0
(30.219715, -97.771166)"
"Michelle Yost Custom Art Glass","3","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Craft/Design","Glass"," "," ","78745","2289","2014","806 Philco Dr
Austin, TX 78745
(30.219374, -97.777229)"
"AISD  Performing Arts Center - Auditorium","1","yes","Performance Venue","Auditorium","Live Music",," ","Multidisciplinary","Theater/Dance/Music","https://pac.fineartsaustin.org/Online/","The Performing Arts Center is a state-of-the-art facility designed specifically to enhance the arts experience for each and every student and teacher in Austin ISD.","78723","3385","2016","1500 Barbara Jordan Blvd
Austin, TX 78723
(30.306657, -97.68314)"
"Go Dance Studio","5","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance","http://www.godancestudio.com","Our staff of more than 30 instructors teach beginning through advanced students in over 30 dances including Ballroom, Latin, Swing, Country Western, Salsa and wedding dances. We offer over 50 group classes each week, and private lessons are available dur","78745","2268","2014","4477 S Lamar Blvd
Austin, TX 78745
(30.232205, -97.798828)"
"Austin Uptown Dance","7","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78758","3083","2014","8868 Research Blvd
Austin, TX 78758
(30.366183, -97.718632)"
"St. David's Episcopal Church","9","yes","House of Worship","House of Worship","Live Music",," ","Other"," House of Worship","http://www.stdave.org","St. David's hosts a variety of community and professional music events.  The main entrance is on San Jacinto Blvd between East 7th and 8th Streets, between the back of the church and the parking garage.  They are just south of the Federal Building and ju","78701","439","2016","304 East 7Th Street
Austin, TX 78701
(30.268538, -97.73987)"
"Gray Creations Portraits","4","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Visual Arts"," Music"," "," ","78723","1685","2014","1410 Suffolk Dr
Austin, TX 78723
(30.310376, -97.701487)"
"Bourbon Girl","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.bourbongirlaustin.com/","Bourbon Girl is a bar located on 6th Street in Downtown Austin that provides cold drinks and live music.","78701","285","2016","212 East 6th Street
Austin, TX 78701
(30.267809, -97.740847)"
"Austin Conservatory Of Dance","0","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78728","1821","2014","14735 Bratton Ln
Austin, TX 78728
(30.446095, -97.686015)"
"Lavaca Street Bar","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.lavacastreet.com","Lavaca Street Bar, a popular nightlife destination for the hip downtown crowd, has served as an Austin icon for numerous years.  They feature drink specials every night of the week as well as happy hour Monday-Friday from 4:00pm to 7:00pm.

<b>Hours:</b>","78701","312","2016","405 Lavaca Street
Austin, TX 78701
(30.266859, -97.745546)"
"Exquisite Zombies","4","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.exquisitezombies.com","An Exquisite Art Co-Op, Comprised of Deadly Specialists from Every End of the Globe, Enterprising, Marching, Making... Whispers, Discreet Invitations, Rallying of Spirits, A Bite, Brain Neurons Bubbling Towards Doom, Discovery, Dozens of Grasping Hands,","78752","2722","2016","7000 Priscilla Dr
Austin, TX 78752
(30.333434, -97.710883)"
"First Street Studio","3","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," ","http://www.firststreetstudio.net","venue/movement class & performance","78702","628","2014","2400 E Cesar Chavez
Austin, TX 78702
(30.254953, -97.717558)"
"Museum Of Natural & Artificial Ephemerata (Mnae)","1","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78702","762","2014","1808 Singleton Ave
Austin, TX 78702
(30.27967, -97.715326)"
"Roadhouse Relics","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78704","1216","2014","1720 S 1St St
Austin, TX 78704
(30.248323, -97.755859)"
"E4 Gallery and Art Studio","3","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.armadilloclay.com/home/e4galleryartstudio.html","The newest gallery on Austin's east side, E4 Gallery, is run 
by longtime Austin potter and businessman, Craig Freiburger. Owner of beloved Austin icon Armadillo Clay & Supplies which began, in true Austin style, as a business venture in a garage 27 year","78702","752","2016","3307 East 4Th Street
Austin, TX 78702
(30.253444, -97.705944)"
"Women & Their Work ","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","www.women&theirwork.org","space/vis & perf arts","78701","415","2014","1710 Lavaca St
Austin, TX 78701
(30.279665, -97.741461)"
"Pink Flamenco Dance Studio","1","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," ","http://www.flamencogenoveva.com/","Flamenco dance instruction for beginners and advanced students.","78702","635","2016","1401-C Cedar Ave
Austin, TX 78702
(30.276912, -97.713119)"
"Gallery Of The Republic","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Other"," "," "," ","78701","422","2014","San Jacinto Ctr
Austin, TX 78701
(30.262309, -97.742742)"
"Linda Dumont","9","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Visual Arts"," "," "," ","78751","2625","2014","815 E 52Nd St
Austin, TX 78751
(30.312755, -97.71525)"
"John Christian Co","0","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Textile/Apparel"," Textile/Apparel"," "," ","78737","2104","2014","14101 W Highway 290
Austin, TX 78737
(30.209866, -97.970975)"
"Skinny's Ballroom","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://skinnysballroom.com/","Skinny's Ballroom invites all Austin indie music lovers to enjoy our great live shows, or drop in earlier in the evening for daily happy hour specials. When bands are taking a break, the music keeps going on our massive free digital jukebox. Ages 21 and","78701","336","2016","115 San Jacinto
Austin, TX 78701
(30.262772, -97.741748)"
"Scottish Rite Theater","1","yes","Theater","Theater"," ",," ","Theater Arts"," ","www.scottishritetheater.org","The Scottish Rite Bodies of Austin are located at the historic Scottish Rite Theatre and Temple, across the street from the Bob Bullock Texas State History Museum in Austin's historic Capital District.  Since construction in 1869, the building has enjoye","78701","564","2014","207 W 18Th St
Austin, TX 78701
(30.279799, -97.740006)"
"Baker St. Pub & Grill","5","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.bakerstreetpub.com/","Sherlock's Baker Street Pub, Baker Street Pub and Grill and Watson's Ale House have 22 locations across Texas and growing. We offer live music seven nights a week from 4pm-2am. Offering some of the largest drawing regional and national acts. Never a cove","78704","1018","2016","3003 S Lamar Blvd
Austin, TX 78704
(30.243226, -97.78278)"
"Edwardian Suite Gallery and Studio","1","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Other"," "," ","Art Gallery in East Austin","78722","1637","2016","2824 Real Street
Austin, TX 78722
(30.282796, -97.711269)"
"Glenn at The Backyard","0","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.theglennaustin.net","The Glenn at The Backyard is one of Austin's most beautiful outdoor music venues.","78736","2079","2016","13101 Highway 71 West
Austin, TX 78736
(30.250073, -97.926724)"
"Chaddick Dance Theater","3","yes","Theater","Theater"," ",," ","Dance"," Dance","http://www.chaddickdancetheater.com","A highly theatrical,energetic, dance theater company bringing all spectrums of life to the stage. Dance intermixed with spoken word, their performances are full of twists and bends revealing many aspect of our physiological existence and societial confli","78702","859","2014","2412 Cesar Chavez
Austin, TX 78702
(30.254752, -97.717551)"
"Hawaiian Dancers Luau's-Events","3","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78704","1074","2014","3500 S Congress Ave
Austin, TX 78704
(30.229046, -97.761182)"
"The White Horse","5","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"300","Music","Americana, Country, Rockabilly","http://www.whitehorseaustin.com/","The White Horse features live music 7 days a week with a full-service bar and whiskey on tap, dance floor, two pool tables, Bomb Tacos trailer and covered/open air smoking patio. We also feature an antique photo booth and a variety of arcade games. Our s","78702","657","2016","500 Comal Street
Austin, TX 78702
(30.262565, -97.72701)"
"Nuno's Attic","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.myspace.com/nunosupstairs","At Nuno's on Sixth Downstairs is a great place to have a drink and listen to the greatest blues musicians in Austin (seven days a week!)... 

In the Nuno's Attic, there is also musical performances as well as theatrical performances.","78701","320","2016","422 East Sixth
Austin, TX 78701
(30.267261, -97.738981)"
"East Side Collective","3","yes","Artist Studios/ Workshops","Coworking"," ","Event Venue"," ","Multidisciplinary"," ","eastsidecollective.com","0","0","150","2016","2400 Cesar Chavez St
,  0
(30.254953, -97.717558)"
"House Wine","5","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"100","Music","Americana, Folk/Acoustic, Jazz","http://www.housewineaustin.com/","House Wine is as unpretentious and inclusive as Austin itself. Our delicious and intriguing wines are thoughtfully chosen from vineyards all over the world! House Wine plays proud host to local charity events, and local artists works. We provide a place","78704","1092","2016","408 Josephine Street
Austin, TX 78704
(30.261916, -97.758902)"
"Museum Of Magnetic Sound Recording","0","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Music"," Music","http://www.austinmuseums.org/amp_profiles/museum-of-magnetic-sound-recording/","Support for an Austin Music & Recording Technology Museum","78746","2412","2014","901 S Mopac Expy
Austin, TX 78746
(30.30108, -97.81488)"
"Medical Arts Gallery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," ","0","78705","1374","2016","2911 Medical Arts St
Austin, TX 78705
(30.288269, -97.728841)"
"Ariel Art Galleries Inc","6","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://arielartgalleries.com/"," ","78726","1771","2014","8112 Red Bird Ct
Austin, TX 78726
(30.424005, -97.862435)"
