"respondent_id","start_date","end_date","which_of_the_following_would","which_of_the_following_would_1","which_of_the_following_would_2","which_of_the_following_would_3","which_of_the_following_would_4","which_of_the_following_would_5","which_of_the_following_would_6","which_of_the_following_would_7","which_of_the_following_would_8","which_of_the_following_would_9","which_of_the_following_would_10","which_of_the_following_would_11","which_of_the_following_would_12","which_of_the_following_would_13","which_of_the_following_would_14","which_of_the_following_would_15","which_of_the_following_would_16","which_of_the_following_would_17","which_of_the_following_would_18","which_of_the_following_would_19","which_of_the_following_would_20","which_of_the_following_would_21","which_of_the_following_would_22","which_of_the_following_would_23","which_of_the_following_would_24","which_of_the_following_would_25","which_of_the_following_would_26","which_of_the_following_would_27","which_of_the_following_would_28","what_percentage_of_your_income","which_best_describes_your","in_your_opinion_do_you_have","what_do_you_currently_pay","how_often_do_you_use_access","zipcode_your_current_creative","how_do_your_monthly_payments","what_is_the_minimum_square","what_is_the_maximum_price","of_the_following_workspace","of_the_following_workspace_1","of_the_following_workspace_2","of_the_following_workspace_3","of_the_following_workspace_4","of_the_following_workspace_5","of_the_following_workspace_6","of_the_following_workspace_7","which_of_the_following_would_29","which_of_the_following_would_30","which_of_the_following_would_31","which_of_the_following_would_32","which_of_the_following_would_33","which_of_the_following_would_34","which_of_the_following_would_35","which_of_the_following_would_36","which_of_the_following_would_37","which_of_the_following_would_38","which_of_the_following_would_39","which_of_the_following_would_40","which_of_the_following_would_41","which_of_the_following_would_42","which_of_the_following_would_43","which_of_the_following_would_44","which_of_the_following_would_45","which_of_the_following_would_46","which_of_the_following_would_47","which_of_the_following_would_48","which_of_the_following_would_49","which_of_the_following_would_50","which_of_the_following_would_51","which_of_the_following_would_52","which_of_the_following_would_53","which_of_the_following_would_54","which_of_the_following_would_55","which_of_the_following_would_56","which_of_the_following_would_57","which_of_the_following_would_58","which_of_the_following_would_59","which_of_the_following_would_60","which_of_the_following_would_61","which_of_the_following_would_62","which_of_the_following_would_63","which_of_the_following_would_64","which_of_the_following_would_65","which_of_the_following_would_66","which_of_the_following_would_67","please_write_your_top_3_zip","please_write_your_top_3_zip_1","please_write_your_top_3_zip_2","have_space_related_issues","have_space_related_issues_1","have_space_related_issues_2","have_space_related_issues_3","have_space_related_issues_4","have_space_related_issues_5","have_space_related_issues_6","have_space_related_issues_7","have_space_related_issues_8","have_space_related_issues_9","have_space_related_issues_10","which_of_the_following_city","which_of_the_following_city_1","are_you_currently_a_city","how_did_you_find_out_about","how_did_you_find_out_about_1"
"10336740583","2018-11-08T19:45:19.000","2018-11-08T19:54:51.000",,,,,,,,,,,,,,,,,"Music/Music Composition",,,,,,,,,,,,,"10","My work space is provided free of charge to me (e.g., member of dance troupe, university student, etc.)","Yes","$0 - I have space free of charge","Daily, 5 or more hours","78701","Not relevant to me/ I do not pay for a space","Under 200 sq. feet","0.25",,,"Work in a private workspace, but in a larger complex with other artists",,,,,,,"Indoor Performance Space, Auditorium, Thrust Stage, Proscenium",,,,"Rehearsal Space, less than 1,000 sq. feet",,,,,,"Classroom, teaching space",,,,,,,,,,,,"Individual Artist Workspace",,,,,,,,,,,,,,,,"78701","78722","78723",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,"Canceled a performance or production",,,,,,,"As an artist in residence, we have the space needed to produce events. If we didn't have this space, we would not be able to produce the events.","Other (please specify)","Artist in Residence Programs, Cultural Funding Program, Professional development workshops (I couldn't check more than one above)","Yes","City staff",
"10336038302","2018-11-08T14:16:31.000","2018-11-08T14:23:11.000",,,,,,,"Film/TV",,,,,,,,,,,,,,,,,,,,,,,"100","I RENT studio or other work space separate from my home","Yes","under $150","Weekly, at least a few days/hours a week","78723","Increased by 5% or less","Don't Know","NA",,,"Work in a private workspace, but in a larger complex with other artists","Rent workspace on a temporary, as needed basis (by the hour or day)","Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,,"Indoor Performance Space, Auditorium, Thrust Stage, Proscenium",,,,,,,,,,,,,"Running Water",,,"Serving Alcohol","Serving Food","Commercial kitchen",,,"Projection, Movie Theater","Individual Artist Workspace","Multiple Artist Workspaces",,,,,"Soundproofing, Recording Studio",,,,"Wheelchair accessibility",,,,,,"78723","78722","78702",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,,,,,,,"Other (please specify)","co-working at Austin School of Film, nonprofit","Yes","Other (please specify)","CORE funding grant application"
"10335913017","2018-11-08T13:30:09.000","2018-11-08T13:35:13.000",,,,,,,"Film/TV",,,,,,,,,,,,,,,,,,,,,,,"100","I RENT my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","No","Not relevant to me/ I do not have a workspace separate from my home","Daily, 5 or more hours","78751","Increased by 6-10%","200 - 350 sq. feet","1",,,"Work in a private workspace, but in a larger complex with other artists",,,,,,,"Indoor Performance Space, Auditorium, Thrust Stage, Proscenium",,,,,,,"Exhibition, Gallery Space, less than 1,000 sq. feet",,,"Classroom, teaching space",,,"Running Water",,,,,,,,"Projection, Movie Theater","Individual Artist Workspace",,,,,"Photo Studio",,,,,,,,,,,"78722","78751","78702","Used a space beyond the Austin city limits","Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state","Canceled a performance or production",,,"Been forced to close and/or discontinue your creative practice",,,,,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10112447473","2018-07-15T18:47:23.000","2018-07-15T18:54:35.000",,,,,,,,,,,,,,,,,,,"Painting, Illustration",,,,,,,,,,,"35","I RENT studio or other work space separate from my home","No","$701- $1,000","Daily, 5 or more hours","78702","Increased by 5% or less",,,"Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,"Exhibition, Gallery Space, less than 1,000 sq. feet",,,,"Air-Conditioned Storage Space",,"Running Water",,,,,,,,,,,,,,,,,,,,"High ceilings",,,,,"78702","78741","78721",,,"Considered permanently leaving Austin for another city or state",,,"Paid for space you could not afford",,,,,,"I do not utilize any of the above City services",,,"Read about it in the News, Magazine",
"10335875786","2018-11-08T13:16:30.000","2018-11-08T13:36:13.000",,,,"Comedy or Improv",,,,,,,,,,,"Literary Arts",,,"New Media, Tech, Digital Arts",,"Performing/Theatre Arts",,,,,,,,,,"50","I OWN my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","Yes","Not relevant to me/ I do not have a workspace separate from my home","Daily, 5 or more hours","78721","Stayed the same","351 - 500 sq. feet","$1.00 /sf","Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)",,,,,"Rehearsal Space, less than 1,000 sq. feet",,,,,,,,,"Running Water",,,,,,,,,"Individual Artist Workspace",,"Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)",,,,,"Oversized Doors and/or Freight Elevator",,,"Wheelchair accessibility","High ceilings",,,,,"78721","78702","78723",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,,,,,"Stopped you from expanding your operations",,,"Receiving funding through the Cultural Funding Program",,"Yes","City of Austin Website",
"10335257889","2018-11-08T09:44:50.000","2018-11-08T09:55:42.000",,,,,,,,,,,,,,,,,,,"Painting, Illustration",,,,,,,,,,"Design and Installation","75","I OWN my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","No","$301- $700","Daily, less than 5 hours","78757","Increased by 5% or less","351 - 500 sq. feet","$500",,,,,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)",,,,,,,,,"Exhibition, Gallery Space, more than 1,000 sq. feet","Retail Space, Storefront","Classroom, teaching space","Air-Conditioned Storage Space",,"Running Water",,,,,,,,,,,,,,,,,,,"Wheelchair accessibility","High ceilings",,,,,"78723","78721","78741",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,"Stopped you from pursuing a specific job, contract, project, or commission",,,,"Stopped you from expanding your operations",,,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10334008203","2018-11-07T22:49:08.000","2018-11-07T23:03:26.000",,,,,,,"Film/TV",,,,,,,,,,,,,,,,,,,,,,,"100","I RENT studio or other work space separate from my home","Yes","under $150","Weekly, at least a few days/hours a week","78702","Stayed the same","200 - 350 sq. feet","0.25",,,"Work in a private workspace, but in a larger complex with other artists",,,,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)",,,,,"Rehearsal Space, less than 1,000 sq. feet",,,,,,,,,"Running Water","Office Space, less than 5 employees",,"Serving Alcohol","Serving Food",,,,"Projection, Movie Theater","Individual Artist Workspace",,,,"Film Processing, Darkroom","Photo Studio","Soundproofing, Recording Studio","Oversized Doors and/or Freight Elevator",,,,,,,,,"78702","78722","78721","Used a space beyond the Austin city limits","Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,,"Paid for space you could not afford",,,,,,"Receiving funding through the Cultural Funding Program",,"Yes","City of Austin Website",
"10333856229","2018-11-07T20:49:43.000","2018-11-07T21:10:04.000",,,,,,,"Film/TV",,,,,,,,,,,,,,,,,,,,,,,"15","I RENT studio or other work space separate from my home","No","$150- $300","Daily, 5 or more hours","78723","Increased by 11-25%","Under 200 sq. feet","1.25",,"Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,,,,,,,,,,,,,,,"Running Water","Office Space, less than 5 employees",,,,,,,,"Individual Artist Workspace","Multiple Artist Workspaces",,,,,"Soundproofing, Recording Studio",,,,,,"Live/Work Space",,,,"78723","78721","78757",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,,"Paid for space you could not afford",,,"Stopped you from expanding your operations",,"Over the last few years I have used my office space for my freelance business and my creative work. I've been able to find sublets to make this possible. However, the sublets were 'lucky' timing and came as a result of having contacts with fellow low-budget filmmakers. If my current month-to-month sublet comes to an end, I will be back to working out of the room I rent in the house I live in, or will try a co-working space, unless I am able to somehow find another low-rent sublet.","Receiving funding through the Cultural Funding Program",,"Don't Know","City staff",
"10333129504","2018-11-07T14:50:23.000","2018-11-07T14:57:20.000",,,,,,,,,,,,,,,,,,,,"Performing/Theatre Arts",,,,,,,,,,"5","I RENT studio or other work space separate from my home","No","$150- $300","Monthly, a few days/hours a month","78741","Increased by 11-25%","1,001 - 1,500 sq. feet","300",,,,,,,,"I produce two shows a year, and only rent when I produce the shows, so the wording of this quiz doesn't apply well to my situation. I don't rent monthly.","Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)","Indoor Performance Space, Auditorium, Thrust Stage, Proscenium",,,,,,,,"Exhibition, Gallery Space, more than 1,000 sq. feet","Retail Space, Storefront",,"Air-Conditioned Storage Space",,,,,,,,,,,,,,,,,,,"Ramps/loading dock",,"Wheelchair accessibility","High ceilings",,,,,"78741","78702","78721",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,,"Paid for space you could not afford",,,"Stopped you from expanding your operations",,"I have started rehearsing in my apartment quite frequently and it is not ideal as my apartment is very small and I have roommates but it has been our only option as rental rates for rehearsal space have gone up. I have also done  performances outside that don't really belong outside as a last resort option.","Receiving funding through the Cultural Funding Program",,"Yes","City of Austin Website",
"10332847426","2018-11-07T13:10:35.000","2018-11-07T13:19:31.000",,,,,,,,,,,,,,,,,"Music/Music Composition",,,,,,,,,,,,,"25","I RENT studio or other work space separate from my home","No","under $150","Monthly, a few days/hours a month","78702","Increased by 5% or less","200 - 350 sq. feet","$1.00",,"Have workspace and living space within a larger complex of studios and residences",,,,,,,,"Indoor Performance Space, Auditorium, Thrust Stage, Proscenium",,"Outdoor Performance Space with amplified sound",,"Rehearsal Space, less than 1,000 sq. feet",,"Mirrors/mirrored wall",,,,,,,"Running Water",,,"Serving Alcohol","Serving Food","Commercial kitchen","Specialty Floors (Marley, Subfloor, Acro Mats, Sprung Floors)",,,,"Multiple Artist Workspaces",,,,,,,"Ramps/loading dock",,,"High ceilings",,,,,"78702","78722","78723",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,,,,,,,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10331868948","2018-11-07T07:22:30.000","2018-11-07T07:29:17.000",,,,,,,"Film/TV",,,,,,,,,,,,,,,,,,,,,,,"95","I need space occassionaly and rent on an as needed basis","Yes","Not relevant to me/ I do not have a workspace separate from my home","Not relevant to me- I don't need a workspace","N/A","Not relevant to me/ I do not pay for a space","None (my work requires no dedicated space)","$50/mo",,,,,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,,,,,,,,,,,,,,,"Running Water",,,,,,,,"Projection, Movie Theater","Individual Artist Workspace","Multiple Artist Workspaces",,,,,"Soundproofing, Recording Studio","Oversized Doors and/or Freight Elevator","Ramps/loading dock",,,,"Live/Work Space",,,,"78757","78723","78762","Used a space beyond the Austin city limits","Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,,,,,,,,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10330306537","2018-11-06T15:00:04.000","2018-11-06T15:14:30.000",,,,,,,,,,,,,,,,,"Music/Music Composition",,,"Performing/Theatre Arts",,,,,,,,,,"80","I need space occassionaly and rent on an as needed basis","Don't know","under $150","Monthly, a few days/hours a month","78744","Stayed the same","351 - 500 sq. feet","$0.50","Work at home in a private workspace within my home",,,"Rent workspace on a temporary, as needed basis (by the hour or day)",,"Share/Sublet my studio part time when I am not using it",,,,"Indoor Performance Space, Auditorium, Thrust Stage, Proscenium",,,,"Rehearsal Space, less than 1,000 sq. feet",,,,,,,"Air-Conditioned Storage Space",,,,,,,,,,,,,,,,,"Soundproofing, Recording Studio",,,,,,,,,,"78703","78746","78731",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,"Paid for space you could not afford",,"Stopped you from pursuing your creative practice professionally","Stopped you from expanding your operations",,,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
