LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
7455207004,04/07/2020,0681,PPP,"THE PEACHED TORTILLA MOBILE, LLC",6500 N LAMAR BLVD STE D,AUSTIN,TX,78752-4010,02/20/2021,Paid in Full,24,100,436495,436495,0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78752-4010,TX-37,85,711310,Asian,Not Hispanic or Latino,,436495,,,,,,Limited  Liability Company(LLC),9551,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,439496.65,12/31/2020
4435658310,01/23/2021,0681,PPS,THE BLIND PIG LLC,317 E 6th St,Austin,TX,78701-3627,09/14/2021,Paid in Full,60,100,421382,421382,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-3627,TX-37,26,722410,Unanswered,Not Hispanic or Latino,1,421375,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,423898.59,08/27/2021
3820968300,01/22/2021,0681,PPS,OF RIGOR LLC,307 W 5th St,Austin,TX,78701-2911,09/15/2021,Paid in Full,60,100,413000,413000,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-2911,TX-37,24,722410,Unanswered,Unknown/NotStated,1,412997,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Unanswered,Unanswered,,415248.56,08/09/2021
2782178303,01/21/2021,0681,PPS,SHAKESPEARE'S PUB INC.,314 E 6th St,Austin,TX,78701-3628,09/14/2021,Paid in Full,60,100,409500,409500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-3628,TX-37,26,722410,Unanswered,Not Hispanic or Latino,1,409494,,,,,,Corporation,70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,411809.13,08/13/2021
9795498600,03/26/2021,0681,PPS,REDRUM BAR LLC,812 Sussex Dr,Austin,TX,78745-2415,01/15/2022,Paid in Full,60,100,381537,381537,0,,71653,Vista Bank,5840 W Northwest Hwy,DALLAS,TX,75225-3201,U,N,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78745-2415,TX-37,40,722410,Unanswered,Unknown/NotStated,1,381532,,,,,,Limited  Liability Company(LLC),71653,Vista Bank,DALLAS,TX,Unanswered,Unanswered,,384035.28,11/26/2021
3765388702,03/31/2021,0681,PPS,2310 MANOR ROAD LLC DBA HAYMAKER,2310 Manor Rd,Austin,TX,78722-2136,02/18/2022,Paid in Full,60,100,381304,381304,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78722-2136,TX-25,48,722410,Unanswered,Unknown/NotStated,1,381299,,,,,,Limited  Liability Company(LLC),48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Unanswered,Unanswered,,384200,01/06/2022
2182788305,01/20/2021,0681,PPS,CONTAINER BAR LP,90 Rainey St,Austin,TX,78701-4307,07/09/2021,Paid in Full,60,100,376600,376600,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-4307,TX-37,64,722410,Unanswered,Unknown/NotStated,1,376596,,,,,,Limited Liability Partnership,70134,Horizon Bank SSB,Austin,TX,Unanswered,Unanswered,,378116.86,06/15/2021
5550308310,01/25/2021,0681,PPS,LAMAR SOUTH SPORTSBAR INC.,4024 S Lamar Blvd,Austin,TX,78704-7903,05/12/2022,Paid in Full,60,100,368115,368115,0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78704-7903,TX-21,62,722410,Unanswered,Not Hispanic or Latino,1,368111,,,,,,Corporation,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Male Owned,Non-Veteran,,372613.06,04/21/2022
8480807210,04/28/2020,0681,PPP,"RED VELVET EVENTS, INC.",7121 N. Lamar Blvd,AUSTIN,TX,78752,03/12/2021,Paid in Full,24,100,365787,365787,0,,122478,Keystone Bank SSB,13715 E. Ladera Blvd.,Bee Cave,TX,78738,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78752-0001,TX-37,26,711310,Asian,Unknown/NotStated,,365787,,,,,,Corporation,122478,Keystone Bank SSB,Bee Cave,TX,Female Owned,Unanswered,,367623.95,02/16/2021
4557558302,01/23/2021,0681,PPS,ARJ ENTERTAINMENT INC.,4501 Ridge Oak Dr,Austin,TX,78731-5209,12/09/2021,Paid in Full,60,100,361866.08,361866.08,0,,69819,Prosperity Bank,1301 N Mechanic,El Campo,TX,77437,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78731-5209,TX-37,18,722410,Unanswered,Unknown/NotStated,1,361862.08,,,,,,Corporation,69819,Prosperity Bank,El Campo,TX,Unanswered,Unanswered,,364780.84,11/22/2021
5011518609,03/20/2021,0681,PPS,MANOR ROAD TAVERN LLC,1809 Manor Rd,Austin,TX,78722-2432,03/22/2022,Paid in Full,60,100,352300,352300,0,,71783,Frost Bank,111 W Houston St,SAN ANTONIO,TX,78205-1414,U,Y,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78722-2432,TX-35,20,722410,Unanswered,Unknown/NotStated,1,352297,,,,,,Limited  Liability Company(LLC),71783,Frost Bank,SAN ANTONIO,TX,Unanswered,Unanswered,,355359.7,02/03/2022
2673888305,01/21/2021,0681,PPS,RAINEY STREET LLC,90 Rainey St,Austin,TX,78701-4307,07/09/2021,Paid in Full,60,100,350800,350800,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-4307,TX-37,64,722410,Unanswered,Unknown/NotStated,1,350796,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Unanswered,Unanswered,,352203.2,06/15/2021
3748638703,03/31/2021,0681,PPS,CENTRAL MACHINE OPERATING COMPANY LLC,4824 E Cesar Chavez St,Austin,TX,78702-5136,05/12/2022,Paid in Full,60,100,348852,348852,0,,71316,PlainsCapital Bank,2911 Turtle Creek Blvd. Suite 700,DALLAS,TX,75219,U,Y,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78702-5136,TX-37,37,722410,Unanswered,Unknown/NotStated,1,348849,,,,,,Limited  Liability Company(LLC),71316,PlainsCapital Bank,DALLAS,TX,Unanswered,Unanswered,,352456.8,04/11/2022
3716478709,03/31/2021,0681,PPS,THE LEFT HOUSE LLC DBA WHISLERS,4604 Placid Pl,Austin,TX,78731-5515,09/20/2022,Paid in Full,60,100,342968,342968,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78731-5515,TX-37,15,722410,Unanswered,Unknown/NotStated,1,342966,,,,,,Limited  Liability Company(LLC),48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Male Owned,Unanswered,,347598.83,08/11/2022
5766548409,02/09/2021,0681,PPS,RODEO AUSTIN,9100 Decker Lake Rd,Austin,TX,78724-4012,08/19/2021,Paid in Full,60,100,326755,326755,0,,71316,PlainsCapital Bank,2911 Turtle Creek Blvd. Suite 700,DALLAS,TX,75219,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78724-4012,TX-35,18,711310,Unanswered,Unknown/NotStated,1,326753,,,,,,Non-Profit Organization,71316,PlainsCapital Bank,DALLAS,TX,Unanswered,Unanswered,Y,328261.7,07/27/2021
3602547102,04/11/2020,0681,PPP,RODEO AUSTIN,9100 DECKER LAKE RD,AUSTIN,TX,78724-4012,12/16/2020,Paid in Full,24,100,326700,326700,0,,71316,PlainsCapital Bank,2911 Turtle Creek Blvd. Suite 700,DALLAS,TX,75219,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78724-4012,TX-35,23,711310,Unanswered,Not Hispanic or Latino,,326700,,,,,,Non-Profit Organization,71316,PlainsCapital Bank,DALLAS,TX,Male Owned,Unanswered,Y,328460.55,11/03/2020
3029568601,03/16/2021,0681,PPS,CORNER WEST 3 LLC,11420 Rock Rose Ave Ste 130,Austin,TX,78758-7946,07/15/2022,Paid in Full,60,100,326438,326438,0,,188567,Loan Source Incorporated,353 East 83rd Street Suite 3H,NEW YORK,NY,10028,U,N,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78758-7946,TX-37,123,722410,Unanswered,Unknown/NotStated,1,326433,,,,,,Limited  Liability Company(LLC),39848,Cadence Bank,TUPELO,MS,Unanswered,Unanswered,,330587.79,06/30/2022
4866778400,02/07/2021,0681,PPS,AUSTIN'S MOON TOWER SALOON LLC,10212 Menchaca Rd,Austin,TX,78748-2102,03/10/2022,Paid in Full,60,100,319669,319669,0,,69225,"American Bank, National Association",5120 S. Padre Island Dr,CORPUS CHRISTI,TX,78411-4208,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78748-2102,TX-21,18,722410,Unanswered,Unknown/NotStated,1,319665,,,,,,Corporation,69225,"American Bank, National Association",CORPUS CHRISTI,TX,Male Owned,Non-Veteran,,322892.33,02/09/2022
1344757702,05/01/2020,0681,PPP,"PHILLMARC ROOD, LLC",201 Brazos St.,AUSTIN,TX,78701,09/28/2021,Paid in Full,24,100,319282,319282,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-0001,TX-37,500,722410,White,Not Hispanic or Latino,20000,208892,25000,37885,,12505,15000,Limited  Liability Company(LLC),194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Female Owned,Non-Veteran,,323462.64,08/26/2021
5118328306,01/25/2021,0681,PPS,DOMAIN SPORTSBAR INC,11601 Domain Dr Ste 200,Austin,TX,78758-3416,05/12/2022,Paid in Full,60,100,305620,305620,0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78758-3416,TX-37,53,722410,Unanswered,Not Hispanic or Latino,1,305616,,,,,,Corporation,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Male Owned,Non-Veteran,,309362.8,04/21/2022
6109087302,04/30/2020,0681,PPP,"2310 MANOR ROAD, LLC",2310 Manor Rd,AUSTIN,TX,78722-2136,07/22/2021,Paid in Full,24,100,298250,298250,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,Y,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78722-2136,TX-25,48,722410,Unanswered,Unknown/NotStated,21500,225000,,35000,,16750,,Limited  Liability Company(LLC),194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,301481.37,06/04/2021
8495398609,03/25/2021,0681,PPS,BREWERS TABLE - EAST AUSTIN BEVERAGE LLC,4715 E 5th St,Austin,TX,78702-5033,10/07/2022,Charged Off,37,100,283591,283591,0,,122478,Keystone Bank SSB,13715 E. Ladera Blvd.,Bee Cave,TX,78738,U,N,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78702-5033,TX-37,24,722410,Unanswered,Unknown/NotStated,1,283586,,,,,,Limited  Liability Company(LLC),122478,Keystone Bank SSB,Bee Cave,TX,Male Owned,Unanswered,,,
5075808405,02/07/2021,0681,PPS,ESTHER'S FOLLIES INC.,525 E 6th St,Austin,TX,78701-3741,02/09/2022,Paid in Full,60,100,281750,281750,0,,68987,Independent Bank d/b/a Independent Financial,3090 Craig Dr,MCKINNEY,TX,75070-4352,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-3741,TX-37,18,722410,Unanswered,Not Hispanic or Latino,1,281746,,,,,,Limited  Liability Company(LLC),68987,Independent Bank d/b/a Independent Financial,MCKINNEY,TX,Male Owned,Non-Veteran,,284395.32,01/13/2022
1087919104,06/22/2021,0681,PPS,400 CHUPAJACK LLC,407 E 6th St Ste B,Austin,TX,78701-3739,07/12/2022,Paid in Full,60,100,279093.5,279093.5,0,,29277,Bank of St. Francisville,5700 Commerce St,SAINT FRANCISVILLE,LA,70775,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-3739,TX-37,61,722410,White,Not Hispanic or Latino,1,279088.5,,,,,,Limited  Liability Company(LLC),29277,Bank of St. Francisville,SAINT FRANCISVILLE,LA,Male Owned,Non-Veteran,,282000.72,07/13/2022
3149748307,01/21/2021,0681,PPS,MICHELADA'S LLC,333 E 2nd St,Austin,TX,78701-4011,09/14/2021,Paid in Full,60,100,278500,278500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-4011,TX-37,27,722410,Unanswered,Not Hispanic or Latino,1,278497,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,280078.17,08/16/2021
9066208507,03/12/2021,0681,PPS,LAZARUS BREWING OPERATIONS LLC,4105 E 12th St # 2,Austin,TX,78721-1959,02/18/2022,Paid in Full,60,100,193617.5,271064,0,,188567,Loan Source Incorporated,353 East 83rd Street Suite 3H,NEW YORK,NY,10028,U,Y,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78721-1959,TX-35,27,722410,Unanswered,Unknown/NotStated,,271064,,,,,,Limited  Liability Company(LLC),39848,Cadence Bank,TUPELO,MS,Unanswered,Unanswered,,272786.93,11/17/2021
8169188305,01/29/2021,0681,PPS,RADIO COFFEE LLC,1617 Watchhill Rd,Austin,TX,78703-2440,02/18/2022,Paid in Full,60,100,268400,268400,0,,51009,First-Citizens Bank & Trust Company,100 E. Tryon Rd DAC - 90,Raleigh,NC,27603-3581,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78703-2440,TX-37,14,722410,White,Not Hispanic or Latino,1,268396,,,,,,Limited  Liability Company(LLC),51009,First-Citizens Bank & Trust Company,Raleigh,NC,Male Owned,Non-Veteran,,270914.87,01/11/2022
5177257008,04/05/2020,0681,PPP,"CONTAINER BAR, LP",90 Rainey Street,AUSTIN,TX,78701-4307,12/05/2020,Paid in Full,24,100,267500,267500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-4307,TX-37,15,722410,Unanswered,Not Hispanic or Latino,,267500,,,,,,Limited Liability Partnership,70134,Horizon Bank SSB,Austin,TX,Male Owned,Unanswered,,269195.21,02/12/2021
3307448307,01/21/2021,0681,PPS,DEEP EDDY CABARET LLC,2315 Lake Austin Blvd,Austin,TX,78703-4545,04/09/2022,Paid in Full,60,100,265142.5,265142.5,0,,465852,R Bank,3600 E Palm Valley Blvd,ROUND ROCK,TX,78665-3320,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78703-4545,TX-37,18,722410,Unanswered,Unknown/NotStated,1,265139.5,,,,,,Limited  Liability Company(LLC),465852,R Bank,ROUND ROCK,TX,Unanswered,Unanswered,,268244.3,03/30/2022
2068258306,01/20/2021,0681,PPS,BUZZ MILL COFFEE LLC,1505 Town Creek Dr,Austin,TX,78741-1542,08/05/2021,Paid in Full,60,100,262500,262500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,Y,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78741-1542,TX-35,20,722410,White,Not Hispanic or Latino,,262500,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,263725,07/08/2021
2680757205,04/16/2020,0681,PPP,LAMAR SOUTH SPORTSBAR INC,3100 Esperanza Xing Apt 6406,AUSTIN,TX,78758,07/16/2021,Paid in Full,60,100,262100,262100,0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78758-0001,TX-37,61,722410,Unanswered,Not Hispanic or Latino,,262100,,,,,,Corporation,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Male Owned,Non-Veteran,,265144.67,06/17/2021
2673747204,04/16/2020,0681,PPP,ARJ ENTERTAINMENT INC.,"217 WEST 4TH STREET, SUITE B",AUSTIN,TX,78701-3916,04/08/2021,Paid in Full,24,100,258400,258400,0,,69819,Prosperity Bank,1301 N Mechanic,El Campo,TX,77437,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-3916,TX-37,32,722410,Unanswered,Unknown/NotStated,,258400,,,,,,Corporation,69819,Prosperity Bank,El Campo,TX,Unanswered,Unanswered,,236972.74,02/10/2021
3212988607,03/16/2021,0681,PPS,CORNER WEST LLC,715 W 6th St,Austin,TX,78701-2707,07/15/2022,Paid in Full,60,100,253480,253480,0,,188567,Loan Source Incorporated,353 East 83rd Street Suite 3H,NEW YORK,NY,10028,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-2707,TX-37,123,722410,Unanswered,Unknown/NotStated,1,253475,,,,,,Limited  Liability Company(LLC),39848,Cadence Bank,TUPELO,MS,Unanswered,Unanswered,,256702.32,06/30/2022
5835977102,04/14/2020,0681,PPP,"CENTRAL MACHINE OPERATING COMPANY, LLC",4826 CESAR CHAVEZ ST,AUSTIN,TX,78702-5136,05/15/2021,Paid in Full,24,100,252062,252062,0,,71316,PlainsCapital Bank,2911 Turtle Creek Blvd. Suite 700,DALLAS,TX,75219,U,N,Y,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78702-5136,TX-37,52,722410,Unanswered,Unknown/NotStated,,252062,,,,,,Limited  Liability Company(LLC),71316,PlainsCapital Bank,DALLAS,TX,Unanswered,Unanswered,,254652.64,04/28/2021
5182077007,04/05/2020,0681,PPP,RAINEY STREET LLC,94 Rainey Street,AUSTIN,TX,78701-4307,12/05/2020,Paid in Full,24,100,250000,250000,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-4307,TX-37,16,722410,Unanswered,Not Hispanic or Latino,,250000,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Unanswered,Unanswered,,251585.83,02/12/2021
4755718303,01/23/2021,0681,PPS,ESSEX AND DELANCEY LLC,3724 Jefferson St Ste 316,Austin,TX,78731-6222,09/29/2021,Paid in Full,60,100,241700,241700,0,,71783,Frost Bank,111 W Houston St,SAN ANTONIO,TX,78205-1414,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78731-6222,TX-37,24,722410,Unanswered,Not Hispanic or Latino,1,241695,,,,,,Limited  Liability Company(LLC),71783,Frost Bank,SAN ANTONIO,TX,Male Owned,Non-Veteran,,242911.81,08/02/2021
2881577206,04/16/2020,0681,PPP,THE LEFT HOUSE LLC DBA WHISLERS,1816 E. 6th Street,AUSTIN,TX,78702,11/18/2021,Paid in Full,24,100,240000,240000,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,Y,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78702-0001,TX-37,20,722410,Unanswered,Unknown/NotStated,20000,180000,0,40000,0,0,0,Limited  Liability Company(LLC),194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Male Owned,Unanswered,,217539.7,10/07/2021
8905168505,03/10/2021,0681,PPS,DELRAY FOUR LLC,6720 Rotan Dr,Austin,TX,78749-4008,12/04/2021,Paid in Full,60,100,238000,238000,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78749-4008,TX-37,17,722410,Unanswered,Unknown/NotStated,1,237994,,,,,,Partnership,70134,Horizon Bank SSB,Austin,TX,Unanswered,Unanswered,,239659.39,11/17/2021
