dataset_id,name,description_short,updated_at,row_count,downloaded_filename,url,relevance_note
69de-ksja,"Jobs Supported, Economic Development Department","These are jobs supported through Economic Development Department program, services and activities.",2026-04-06,27,austin_jobs_supported_edd_69de-ksja.csv,https://datahub.austintexas.gov/d/69de-ksja,"Jobs Supported by Economic Development Department program/activity, 27 rows, by fiscal year. Includes music/creative divisions; useful for program-scale context."
2qxc-8cme,Median Earnings of Creative Sector Occupations,"Median earnings of creative sector occupations tells us how much Austin's artists, musicians, and related creative sector workers are earning per hour. It shows us whether our city",2026-02-23,54,austin_median_earnings_creative_occupations_2qxc-8cme.csv,https://datahub.austintexas.gov/d/2qxc-8cme,"Median hourly earnings for 54 creative-sector SOC occupations, 2016 and 2017. Small but directly on-topic for musician pay benchmarking; dated."
r5j2-ynwq,Number and Percentage of Creatives who report having Access to Affordable Creative Space (Individual Artists),"This dataset is comprised of arts organizations and businesses’ responses to the 2017 Creative Space Survey. This survey, conducted annually, provides a platform for Austin creativ",2026-04-06,266,austin_creative_space_survey_2017_r5j2-ynwq.csv,https://datahub.austintexas.gov/d/r5j2-ynwq,"2017 Creative Space Survey respondent microdata, 266 rows x 107 vars, on affordable creative space access. Predecessor to the 2022 Music Census on the space-affordability question."
g3rj-dfgm,PLANNINGCADASTRE_sound_ordinance_permits_data,"<a href=""https://data.austintexas.gov/stories/s/ranj-cccq"" target=""_blank"">View the City of Austin Open Data Terms of Use</a>  This dataset shows the location of Sound Ordinance Pe",2026-04-09,3953,austin_sound_ordinance_permits_geo_g3rj-dfgm.csv,https://datahub.austintexas.gov/d/g3rj-dfgm,"Geospatial sound ordinance permits snapshot, 3,953 rows, last refreshed 2021-06-02. Superseded by ryu3-tuin for currency but carries the_geom for mapping."
ryu3-tuin,Sound Ordinance Permits,"<a href=""https://data.austintexas.gov/stories/s/ranj-cccq"" target=""_blank"">View the City of Austin Open Data Terms of Use</a>  This data set contains information about sound ordina",2026-08-01,6970,austin_sound_ordinance_permits_ryu3-tuin.csv,https://datahub.austintexas.gov/d/ryu3-tuin,"CORE. Sound Ordinance Permits. sub_type='Outdoor Music Venue' = 1,751 of 6,970 rows; 623 distinct venue names. Has capacity, decibel_level, hours, amplified_sound_district, permit year. Best available Austin live-music venue permit series; updated 2026-08-01."
xp28-5kft,2014 Austin Digital Assessment Individual Responses,"The 2014 Austin Digital Assessment Project was supported by the Telecommunications & Regulatory Affairs Office of the City of Austin, the Telecommunications and Information Policy ",2026-02-23,,,https://datahub.austintexas.gov/d/xp28-5kft,"EVALUATED, NOT DOWNLOADED. 2014 Digital Assessment survey; keyword match only, not relevant."
i3d7-gc2g,AAQOL Survey Monkey Answers Nov7 Update,Resolution No. 20131024-084 directed the City Manager to “ . . . conduct facilitated discussions . . . about Asian American quality of life issues in Austin; to produce a Community,2026-02-23,,,https://datahub.austintexas.gov/d/i3d7-gc2g,"EVALUATED, NOT DOWNLOADED. Asian American Quality of Life survey; matched on 'arts/cultural' keyword only, not music-economy relevant."
qarf-x9ag,ACME Facility Rentals MCP Site Breakdown,"The total percentage of available facility reservations at ACME museum and cultural programs segmented by site breakdown.   Data Source: RecTrac, a Recreation Systems Management So",2026-04-06,,,https://datahub.austintexas.gov/d/qarf-x9ag,"EVALUATED, NOT DOWNLOADED. ACME facility rentals by site; city facility operations, not commercial venues."
gzdv-b9db,ACME Museums and Cultural Centers Map,"List of Austin Arts, Culture, Music, and Entertainment (ACME) Department's Museums and Cultural Centers.   For more information, please visit -  https://www.austintexas.gov/departm",2026-04-06,,,https://datahub.austintexas.gov/d/gzdv-b9db,"EVALUATED, NOT DOWNLOADED. Map view of w2pp-ceu8; no additional records."
8ywe-h999,ACME_Facility_Reservations by site,"The total percentage of available facility reservations at Austin Arts, Culture, Music, and Entertainment (ACME) Department's museum and cultural programs segmented by site breakdo",2026-04-06,,,https://datahub.austintexas.gov/d/8ywe-h999,"EVALUATED, NOT DOWNLOADED. Chart asset of ACME facility reservations; derived view."
mcg3-4pcd,African American Cultural Heritage District (AACHD),Map of the African American Cultural Heritage District (AACHD),2022-10-17,,,https://datahub.austintexas.gov/d/mcg3-4pcd,"EVALUATED, NOT DOWNLOADED. Story on African American Cultural Heritage District; narrative context."
c9ur-8tbg,Amplify Creative Industries,Explanation of the ways in which the Economic Development Department amplified creative industries in 2022,2025-05-21,,,https://datahub.austintexas.gov/d/c9ur-8tbg,"EVALUATED, NOT DOWNLOADED. Story 'Amplify Creative Industries' (narrative program description)."
rpy8-prg4,Austin Music Census,"The Austin Music Census data, including the reports from 2015 to present.",2023-11-06,,,https://datahub.austintexas.gov/d/rpy8-prg4,"EVALUATED, NOT DOWNLOADED. Story page 'Austin Music Census' (narrative). Points to an3p-3yqx microdata."
k65i-fb87,Become a Grant Reviewer,Resource page for GTOPs grant reviewers,2024-02-09,,,https://datahub.austintexas.gov/d/k65i-fb87,"EVALUATED, NOT DOWNLOADED. Story 'Become a Grant Reviewer'; administrative, no data."
nryc-8bbh,Chapter 14: Special Events,"As the Live Music Capital of the World, events are an important part of Austin’s identity. Austin plays host to a wide variety of festivals, street fairs, and concerts, as well as ",2023-11-17,,,https://datahub.austintexas.gov/d/nryc-8bbh,"EVALUATED, NOT DOWNLOADED. Story page 'Chapter 14: Special Events' (narrative, sound/permit policy context)."
jeyv-db9u,City Cultural Centers Audit Community Survey - Open Response Data,This table contains data from the community survey conducted as part of an Audit of the City's Cultural Centers. We surveyed members of the Austin community using a survey develope,2026-02-23,,,https://datahub.austintexas.gov/d/jeyv-db9u,"EVALUATED, NOT DOWNLOADED. Cultural Centers Audit community survey open responses; city facility audit."
8huy-gqxm,City Cultural Centers Audit Community Survey - Summary Data,This table contains data from the community survey conducted as part of an Audit of the City's Cultural Centers. We surveyed members of the Austin community using a survey develope,2026-02-23,,,https://datahub.austintexas.gov/d/8huy-gqxm,"EVALUATED, NOT DOWNLOADED. Cultural Centers Audit summary data; city facility audit."
uuk6-933w,City of Austin Public Art Collection,Public Art Installation Locations,2026-04-06,,,https://datahub.austintexas.gov/d/uuk6-933w,"EVALUATED, NOT DOWNLOADED. City of Austin Public Art Collection; visual art assets, not music venues."
8rdb-v2ev,Creative Economy,"The information shared on this page is no longer being updated. For more information about Imagine Austin and its ongoing update, please visit speakupaustin.org/ImagineAustin  Vi",2026-04-02,,,https://datahub.austintexas.gov/d/8rdb-v2ev,"EVALUATED, NOT DOWNLOADED. Story page 'Creative Economy' (narrative asset, not tabular). Useful as a citation/context source."
dij2-tapq,Cultural Funding - Core Awards by Fiscal Year,This measure represents the 15% dedicated each fiscal year to contracts with cultural artists and non-profits.,2026-04-06,,,https://datahub.austintexas.gov/d/dij2-tapq,"EVALUATED, NOT DOWNLOADED. Measure asset 'Cultural Funding Core Awards by FY'; derived view of x6aj-qng8."
q9hf-a4mc,Cultural Funding Awards,"Total amount of funds distributed through the cultural funding programs, funded by the Hotel Occupancy Tax revenues",2024-02-29,,,https://datahub.austintexas.gov/d/q9hf-a4mc,"EVALUATED, NOT DOWNLOADED. Story version of Cultural Funding Awards; duplicates x6aj-qng8."
wuwd-rzwz,Economic Development Department Definition Guide,"Frequently used terms and phrases in various Program Guidelines and Applications. For additional information, visit the department Funding page: https://www.austintexas.gov/departm",2026-04-06,,,https://datahub.austintexas.gov/d/wuwd-rzwz,"EVALUATED, NOT DOWNLOADED. EDD Definition Guide (term/definition glossary). Useful for decoding program names, not analysis."
mizs-m37f,EMS - Spring Festival Incident Details,List of incidents responded to by EMS Special Events during the annual Spring Festival Season.,2026-02-23,,,https://datahub.austintexas.gov/d/mizs-m37f,"EVALUATED, NOT DOWNLOADED. EMS Spring Festival incident details; public-safety load during SXSW-season events. Peripheral."
m78t-7ndk,EMS - Spring Festival Incident Summary,Summary of incidents responded to by EMS Special Events during the annual Spring Festival Season,2026-02-23,,,https://datahub.austintexas.gov/d/m78t-7ndk,"EVALUATED, NOT DOWNLOADED. EMS Spring Festival incident summary; peripheral public-safety context."
yvzj-snuv,EMS Special Events FY 2017,** Static Data Set ** This table shows special events information for Fiscal Year 2016-17,2026-02-23,,,https://datahub.austintexas.gov/d/yvzj-snuv,"EVALUATED, NOT DOWNLOADED. EMS special events FY2017; peripheral."
rhyr-j83k,Facility Reservations Museum and Cultural Program Sites,"The total percent of available reservations at the Parks and Recreation Department Museums and Cultural Program (MCP) sites (aggregate)  Data Source: RecTrac, a Recreation Systems ",2026-04-06,,,https://datahub.austintexas.gov/d/rhyr-j83k,"EVALUATED, NOT DOWNLOADED. Facility reservations at museum/cultural program sites; city operations only."
k2zp-zqmu,Jobs Supported,"Jobs Supported Through Economic Development Department Programs, Services and Activities.",2026-04-06,,,https://datahub.austintexas.gov/d/k2zp-zqmu,"EVALUATED, NOT DOWNLOADED. Measure asset 'Jobs Supported'; derived view of 69de-ksja."
naix-2893,Mixed Beverage Gross Receipts (data.texas.gov),Monthly gross alcohol receipts by permit holder and location,2026-08-01,not retrieved,,https://data.texas.gov/d/naix-2893,"EVALUATED, NOT DOWNLOADED (large monthly panel). HIGH POTENTIAL: monthly receipts by venue location give a revenue time series for bars/clubs and a proxy for live-music venue health. Recommend a targeted Travis County pull in a follow-up."
8f4g-cpk9,Mixed Beverage Tax Permits (data.texas.gov),Mixed beverage tax permit holders,2026-08-01,not retrieved,,https://data.texas.gov/d/8f4g-cpk9,"EVALUATED, NOT DOWNLOADED. Permit-holder roster; overlaps TABC license files."
9q26-i3va,Participants in Lifelong Learning Activities (PARD-APL-EDD),"The data represented is from the Parks and Recreation Department (PARD), and represents city offered lifelong learning events, activities and resources. FY21 aggregate data was pro",2026-04-06,,,https://datahub.austintexas.gov/d/9q26-i3va,"EVALUATED, NOT DOWNLOADED. Participants in lifelong learning activities; parks/library programming, not music economy."
gycc-tg3u,PLANNINGCADASTRE_sound_ordinance_permits,This dataset shows the location of Sound Ordinance Permits in Austin.,2026-03-26,,,https://datahub.austintexas.gov/d/gycc-tg3u,"EVALUATED, NOT DOWNLOADED. Map view of g3rj-dfgm; no additional records."
tkh4-jnfd,Protecting Special Events,Protecting Special Events,2018-09-18,,,https://datahub.austintexas.gov/d/tkh4-jnfd,"EVALUATED, NOT DOWNLOADED. Story 'Protecting Special Events' (2018); narrative."
ybad-gaya,SEO Community Feedback- Stakeholder Meetings+ Digital Correspondence,This is the feedback from the participants at a community meeting in May 2018 at the Central LIbrary for the Special Events Ordinance,2026-02-23,,,https://datahub.austintexas.gov/d/ybad-gaya,"EVALUATED, NOT DOWNLOADED. Special Events Ordinance community feedback; qualitative stakeholder input."
tnk7-e4cq,Summary of Cultural Centers Audit Millenium Youth Entertainment Complex (MYEC) Stakeholder Survey,"This table contains data from a survey about the Millenium Youth Entertainment Complex, conducted as part of an Audit of the City's Cultural Centers. This survey was sent out to st",2026-02-23,,,https://datahub.austintexas.gov/d/tnk7-e4cq,"EVALUATED, NOT DOWNLOADED. Millennium Youth Entertainment Complex audit summary; single facility."
hk8d-g4aj,Summary of Open-ended Responses to the Cultural Centers Audit Millenium Youth Entertainment Complex (MYEC) Stakeholder Survey,"This table contains data from a survey about the Millenium Youth Entertainment Complex, conducted as part of an Audit of the City's Cultural Centers. This survey was sent out to st",2026-02-23,,,https://datahub.austintexas.gov/d/hk8d-g4aj,"EVALUATED, NOT DOWNLOADED. Millennium Youth Entertainment Complex audit open responses; single facility."
7hf9-qc9f,TABC License Information (data.texas.gov),"Primary TABC licenses, 47 fields incl. license_type, trade_name, address, city, county, phone, tier, expiration",2026-08-01,"125902 (API count, not downloaded)",,https://data.texas.gov/d/7hf9-qc9f,"EVALUATED, NOT DOWNLOADED (125,902 rows). Has license_type (29 codes: MB=31,917; BQ=29,958; BG=22,231 statewide) but NO premise-type or live-music field. Travis County = 6,287 rows; City of Austin MB = 2,086. Venue identification would require license_type filtering (MB/BG) plus name/NAICS matching - it cannot isolate live-music venues on its own."
kguh-7q9z,TABCLicenses (data.texas.gov),"Slimmer license extract: owner, trade name, license type, license id, legacy class, address, city, zip, county",2026-08-01,"78187 (API count, not downloaded)",,https://data.texas.gov/d/kguh-7q9z,"EVALUATED, NOT DOWNLOADED (78,187 rows; 11 fields). Fewer attributes than 7hf9-qc9f and still no premise/business-type field. Legacy license class may help crosswalk pre-2021 consolidation codes."
