"name_common","assettype","assetnote","discipline","discipline_note","live_music","event_venue","coa_facili","web_notes","website","zip","councildistrict","date_updat","map_list","source","location_1"
"American Landscape Light Dsgn","Business","Service & Support Business","Theater Arts"," Performing Arts"," "," "," "," "," ","78745","0","2014","map","SIAP","1026 Sunflower Trl
Austin, TX 
(30.227497, -97.814729)"
"Governor's Mansion","Landmark","Landmark","Other"," "," "," "," ","The Governor's Mansion, the most historic house in Texas, sits on a beautifully landscaped city block in Austin near the Capitol building. Built in 1856, it is the oldest continuously occupied executive residence west of the Mississippi. The building has","http://www.txfgm.org","78701","1","2016","map","NPA_ven","1010 Colorado Street
Austin, TX 
(30.272375, -97.743004)"
"Glass Half Full Theater","Organization","Theater Company","Theater Arts"," "," "," "," ","Glass Half Full Theatre creates puppetry and physical theatre of objects and ideas, devising visually driven narratives inspired by issues that concern humans across the globe. Our goal is to share stories that are generous, not only in their core conten","http://glasshalffulltheatre.com/index.html","0","0","2016","list","NPA_org","(0.0, 0.0)"
"Freetail Productions","Business","Recording Studio","Music"," "," "," "," "," "," ","78736","0","2016","map","Srempe","11190 Circle Drive suite
Austin, TX 
(30.223981, -97.953828)"
"Hamsa Music","Business","Supplier, Retail","Music"," Music"," "," "," "," "," ","78755","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"American Recorder Society","Organization","Historical Societies & Historic Preservation","Music"," "," "," "," ","The mission of the American Recorder Society is to promote the recorder and its music by:
Developing resources and standards to help people of all ages and ability levels to play and study the recorder
Presenting the instrument to new constituencies
Enco","http://www.main.org/austinars/","0","0","2016","list","NPA_org","(0.0, 0.0)"
"Texas State Preservation Board","Organization","Historical Societies & Historic Preservation","Other"," "," "," "," ","The State Preservation Board preserves and maintains the Texas Capitol, the Capitol Extension, the 1857 General Land Office Building, other designated buildings, their contents and their grounds and operates the Bob Bullock Texas State History Museum. 

","http://www.tspb.state.tx.us/tspb.htm","78701","1","2016","map","NPA_org","201 E 14Th Street
Austin, TX 
(30.275328, -97.73859)"
"Doberenz Photography","Business","Service & Support Business","Film/TV/Media"," A/V"," "," "," "," "," ","78748","0","2014","list","SIAP","3116 Frock Ct
Austin, TX 
(0.0, 0.0)"
"Girls Girls Girls Improv","Organization","Comedy/ Improv Troupe","Comedy"," "," "," "," ","Girls Girls Girls has been an artistic collective since September 2003, and is currently comprised of nine members (including one musician).  They strive to present shows that have both entertaining story arcs and clearly recognizable musical theater ele","http://ggg.austinimprov.com/","78703","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Waterloo Park","Public Park","Public Park","Other"," "," "," "," ","In the heart of downtown, Waterloo Park is the site for concerts, festivals, and other special events throughout the year such as Juneteenth celebrations, Blues Festival, Spamarama, and more.  Waller Creek runs through the middle of the park.  Some featu","http://www.ci.austin.tx.us/parks/parkdirectory.htm","78701","1","2016","map","NPA_ven","403 East 15Th Street
Austin, TX 
(30.275496, -97.735426)"
"Latin Dukes Band","Organization","Band, Musical Group, Ensemble","Music"," "," "," "," "," "," ","0","0","2016","list","CAMP KIT","
Austin, TX 
(0.0, 0.0)"
"PKW Productions","Organization","Band, Musical Group, Ensemble","Music"," "," "," "," ","The creator of PKW Productions, P. Kellach Waddle enjoys a busy career of growing renown as a talented composer, bassist and writer. As a composer he has two Pulitzer Prize nominations to his credit. He boasts a catalogue of nearly 250 works and a list o","http://pkw.wyattbrand.com","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"A R Music","Education","Education, Creative Learning, Professional Development","Music"," Music"," "," "," "," "," ","78759","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Eeka Beeka","Business","Service & Support Business","Visual Arts"," "," "," "," "," "," ","78702","1","2014","map","SIAP","2206 E 7Th St
Austin, TX 
(30.261728, -97.717279)"
"CTX Live Theater","Publication","Website","Theater Arts"," "," "," "," ","CTX Live Theatre is a project — or maybe no more than a hobby, bordering on a quiet obsession — devoted to supporting live narrative theatre in Central Texas. It is maintained by Michael Meigs and fueled by the passion of the theatre community in the","https://ctxlivetheatre.com/","0","0","2017","list","Srempe","
Austin, TX 
(0.0, 0.0)"
"K's Creations","Business","Supplier, Retail","Textile/Apparel"," Textile/Apparel"," "," "," "," "," ","78733","0","2014","list","SIAP","1201 N Cuernavaca Dr
Austin, TX 
(0.0, 0.0)"
"Vietnamese American Heritage Foundation Inc","Organization","Cultural Heritage, Ethnicity, and Religious Groups","Other"," Ethnic Heritage Group"," "," "," "," "," ","78755","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Chicken Fried Radio","Organization","Radio Station","Film/TV/Media"," Media"," "," "," ","Comedy podcast and theatrical production company","http://www.chickenfriedradio.com","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"groundswell","Organization","Theater Company","Theater Arts"," "," "," "," ","groundswell creates new, homegrown theatre. Supporting theatre-makers in and of Austin, Texas, we believe that live performance is vital to the evolving cultural conversation of our city and our country. We believe in gathering the forces around us in or","http://www.groundswelltheatre.com/","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Wireless History Foundation","Organization","Gallery/ Museum","Other"," "," "," "," ","he Wireless History Foundation creates and supports programs connecting members of the wireless industry and enabling them to contribute to the story of wireless.","http://wirelesshistoryfoundation.org/","78709","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"W.H. Passon Historical Society","Organization","Historical Societies & Historic Preservation","History, Culture, Heritage"," "," "," "," "," "," ","78702","1","2018","map","Djackson","1501 E 12th St
Austin, TX 
(30.272914, -97.72349)"
"Walking The Cow Productions","Business","Video Production","Theater Arts"," "," "," "," ","Walking The Cow Productions is a video production company dedicating to serving Austin local businesses and music everywhere.","http://www.walkingthecowproductions.com","78704","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"LBJ Presidential Library, University of Texas at Austin","Library","Library","Other"," "," "," "," ","Situated on a 30-acre site on The University of Texas campus in Austin, Texas, the Library houses 45 million pages of historical documents, 650,000 photos and 5,000 hours of recordings from President Johnson's political career. The iconic ten-story build","http://lbjlibrary.org/","78705","1","2016","map","NPA_org","2313 Red River St
Austin, TX 
(30.284377, -97.727265)"
"Longhorn Singers","Organization","Band, Musical Group, Ensemble","Music"," "," "," "," ","The official show choir at the University of Texas at Austin","http://uts.cc.utexas.edu/~lhs/","78705","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"A'lante Flamenco Dance Ensemble","Organization","Dance Company","Dance"," "," "," "," ","A'lante Flamenco Dance Ensemble is Austin's most exciting new flamenco troupe. Directed and choreographed by Olivia Chacón of Flamencura Dance, this quartet of skilled dancers tears up the floorboards and excites audiences with their own brand of"," ","0","0","2016","list","NPA_org","(0.0, 0.0)"
"Abercrombie Gems-Precious Mtls","Business","Supplier, Retail","Textile/Apparel"," Textile/Apparel"," "," "," "," "," ","78746","0","2014","map","SIAP","3008 Bee Caves Rd
Austin, TX 
(30.272663, -97.797368)"
"Frontier Radio Disc Jockey","Organization","Band, Musical Group, Ensemble","Music"," Music"," "," "," "," "," ","78766","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Quickie Pickie","Restaurant","Restaurant","Culinary Arts"," "," "," "," "," ","http://quickiepickieaustin.com/","78702","1","2016","map","D1 Meeting","1208 E 11th St
Austin, TX 
(30.268586, -97.727379)"
"Life Is Sweet Photo Boutique","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78732","0","2014","map","SIAP","12621 Calistoga Way
Austin, TX 
(30.34674, -97.912364)"
"Print Shack Wells Branch","Business","Commercial Printing","Graphic Design, Printmaking"," Printing"," "," "," "," "," ","78728","0","2014","map","SIAP","2113 Wells Branch Pkwy
Austin, TX 
(30.436254, -97.684049)"
"Protos Festival","Event/ Festival","Event/ Festival","Multidisciplinary"," "," "," "," ","Protos Festival is a nonprofit project whose aim is to showcase the most premier, pioneering and progressive work in the fields of art, technology and social impact","http://ProtosFestival.tumblr.com","78701","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Capitol City Scribes","Organization","Arts Collective","Visual Arts"," Media"," "," "," ","Austin's calligraphy guild","http://www.ccscribes.com/","78763","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Open Ears Concerts","Organization","Event/ Festival","Music"," "," "," "," ","Open Ears Concerts is a monthly series that presents established and emerging artists, mainly in acoustic genres such as folk, bluegrass, world, and jazz. Bring a snack to share and enjoy free fair trade coffee in a family-friendly, peaceful, listener-or","http://www.openearsconcerts.com","78728","0","2016","map","NPA_org","14311 Wells Port Dr
Austin, TX 
(30.436323, -97.674862)"
"Mckinney Falls State Park","Public Park","Public Park","Other"," "," "," "," "," ","http://tpwd.texas.gov/state-parks/mckinney-falls","78744","0","2016","map","D1 Meeting","5808 Mckinney Falls Pkwy
Austin, TX 
(30.183006, -97.719252)"
"University of Texas at Austin, Texas Performing Arts- Mccullough Theatre","Theater","Auditorium","Theater Arts"," Theater"," "," "," ","Located adjacent to Bass Concert Hall, the McCullough Theatre features 400 seats, a 30-foot proscenium stage and an orchestra pit equipped for 35 musicians. Host to UT Opera student productions and other PAC events, this versatile space accommodates cham","http://www.utpac.org","78712","1","2014","map","SIAP","2375 Robert Dedman Drive
Austin, TX 
(30.28766, -97.729712)"
"Independent Austin Business Alliance","Organization","Societies, Alliances, Professional Associations","Other"," "," "," "," ","Locally owned businesses","http://www.ibuyaustin.com","78765","0","2014","list","SIAP","509 E 38Th St
Austin, TX 
(0.0, 0.0)"
"Poolside Sound","Business","Recording Studio","Music"," "," "," "," "," "," ","78729","0","2016","map","Srempe","9301 Robins Nest Ln
Austin, TX 
(30.452428, -97.782284)"
"289 West Club","Bar/Club/Venue","Bar/Club/Venue","Music","Country, Rock","Live Music"," "," ","Open Monday through Saturday. Friday and Saturday open until 2 am. Features mainly rock; country music. Very large and friendly open mic.","http://www.the290westclub.com/","78737","0","2016","map","TMO_16","12013 US Highway 290 West
Austin, TX 
(30.210637, -97.969371)"
"Austin Dance India","Organization","Dance Company","Dance"," "," "," "," ","Classes and Performances in traditional Indian Dance
This project is funded and supported in part by the City of Austin through the Economic Development Department/Cultural Arts Division believing an investment in the Arts is an investment in Austin's fu","http://austindanceindia.com","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Jay Conlon Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78702","1","2014","map","SIAP","1104 E 8Th St
Austin, TX 
(30.266622, -97.729847)"
"Austin Interfaith Arts and Music Festival","Event/ Festival","Event/ Festival","Music"," "," "," "," ","The AIAMF seeks commonalities and celebrates diversity through the visual and performing arts.","http://www.austininterfaithfestival.org/concert.htm","78763","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Texas Governors Mansion Restoration Fund","Organization","Historical Societies & Historic Preservation","Other"," "," "," "," "," ","http://www.txfgm.org/index.php","78701","1","2014","map","SIAP","1010 Colorado St
Austin, TX 
(30.272375, -97.743004)"
"Austin Symphony Orchestra/Jeremiah Hamilton Building, Symphony Square","Landmark","Landmark","Other"," "," "," ","COA"," "," ","78701","1","0","map","COA_datamart","602 E 11th St.
Austin, TX 
(30.271262, -97.735232)"
"Moontower Saloon","Bar/Club/Venue","Bar/Club/Venue","Music"," ","Live Music"," "," ","Over a year ago we set out to create a one of kind, locally owned, drink/dine destination for South Austin. Our concept was to combine the best aspects of a friendly neighborhood bar with a prime location for some of Austin’s best trailer dining option","http://www.moontowersaloon.com/","78748","0","2016","map","TMO_16","10212 Manchaca Road
Austin, TX 
(30.16928, -97.826667)"
"Society For Marketing Professional Services","Organization","Societies, Alliances, Professional Associations","Film/TV/Media"," Media"," "," "," ","Services for Architectural, Engineerg, Construction industry","http://www.austinsmps.org/","78703","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Barnes & Noble College Booksellers","Business","Bookstore, Book Dealers","Literary Arts"," Literature"," "," "," "," "," ","78758","4","2014","map","SIAP","2305 Donley Dr
Austin, TX 
(30.389236, -97.715204)"
"7 Towers Theatre Company","Organization","Theater Company","Theater Arts"," "," "," "," ","7 Towers began in 2010 as a collaboration between an actor and a dramaturg, both interested in the basic relationship between story, performer, and audience. Placing a particular emphasis on honest communication, we value fundamental methods of storytell","http://www.facebook.com/7Towers","0","0","2016","list","NPA_org","(0.0, 0.0)"
"Long Horn Meat Co","Restaurant","Restaurant","Culinary Arts"," "," "," "," "," "," ","78702","1","2016","map","D3 Meeting","2411 E Martin Luther King Jr Blvd
Austin, TX 
(30.280528, -97.716116)"
"Indian Classical Music Circle of Austin","Organization","Cultural Heritage, Ethnicity, and Religious Groups","Music"," "," "," "," ","The Indian Classical Music Circle of Austin (ICMCA) is a non-profit, 501(c)(3) organization formed in 1991 by a voluntary group of Austinites.  The ICMCA's objective is to arrange programs by accomplished Indian classical performing artists, thereby enri","http://www.icmca.org","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Shard Live Performance Collective","Organization","Theater Company","Theater Arts"," "," "," "," ","Founded in 1999, Shard Live Performance Collective has been featuring theatrical productions of social and cultural significance.  Shard is committed to expanding cultural tolerance and awareness is evidenced by past shows including Danny Hoch's Jails","http://www.shardlpc.org","78704","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Sharir + Bustamante Danceworks","Organization","Dance Company","Dance"," "," "," "," ","Since its inception in 1982, Sharir + Bustamante Danceworks has served the Austin arts community by fostering the growth of countless dancers, choreographers, visual artists, composers, musicians and multimedia artists.  By producing and commissioning ne","http://www.sbdanceworks.org","78767","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Affordable Commercial Photo","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78757","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Print & Bind Direct","Business","Commercial Printing","Graphic Design, Printmaking"," Printing"," "," "," "," "," ","78717","0","2014","map","SIAP","8205 Racine Trl
Austin, TX 
(30.490051, -97.73981)"
"Texas Heritage Songwriters","Organization","Historical Societies & Historic Preservation","Music"," Music"," "," "," ","cultural preservation, hall of fame","http://www.texasheritagesongwriters.com","78738","0","2014","map","SIAP","12600 Hill Country Blvd
Austin, TX 
(30.310294, -97.943024)"
"Attic Film Fest-The Grace Arts Project","Event/ Festival","Event/ Festival","Film/TV/Media"," Film/TV"," "," "," ","The Attic Film Fest's mission is to support and empower Independent filmmakers to spread Christ's message through film. It is our sincere prayer that the films screened will honor Christ and His message of forgiveness and love for all and bless those wat","http://atticfilmfest.org/","78746","0","2014","map","SIAP","3203 Park Hills Drive
Austin, TX 
(30.276594, -97.788107)"
"Giddy Ups","Bar/Club/Venue","Bar/Club/Venue","Music"," ","Live Music"," "," "," ","http://www.giddyups.com/","78748","0","2016","map","D6 Meeting","12010 Manchaca Rd
Austin, TX 
(30.141924, -97.833044)"
"Violet Crown Arts Committee, Arts Festival","Event/ Festival","Event/ Festival","Multidisciplinary"," "," "," "," "," ","http://www.violetcrowncommunity.org/artsfest.html","78703","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Union Entertainment Group Inc","Business","Service & Support Business","Theater Arts"," "," "," "," "," "," ","78732","0","2014","map","SIAP","5138 Mansfield View Ct
Austin, TX 
(30.37422, -97.8927)"
"Blue Paper Film Works","Organization","Production Company","Film/TV/Media"," "," "," "," ","Blue Paper Film Works is an Austin-based film team of independent film producers, interested in creating challenging and compelling films that explore new topics and themes. Nicole Elmer, Producer/Director and Jorge Sermini, Actor.","http://www.bluepaperfilm.com","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"George Brainard Photographer","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78724","0","2014","list","SIAP","7700 Trailside Est
Austin, TX 
(0.0, 0.0)"
"Teresa Harper Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78728","0","2014","map","SIAP","3400 Ruby Red Dr
Austin, TX 
(30.459623, -97.683224)"
"Rakasa Revue","Organization","Production Company","Theater Arts"," "," "," "," ","Rakasa Revue produces family-friendly monthly events to showcase Austin-area belly dance performers and produces instructional workshops.","www.facebook.com/RakasaRevue","78717","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Stardust Club","Bar/Club/Venue","Bar/Club/Venue","Music","Country, Jazz, Rock","Live Music"," "," ","The Stardust Club Is located in South Austin. We are a full service bar and billiards on Manchaca Rd, 2 miles south of Slaughter Lane. Live music Friday and Saturday with NO cover. Karaoke on Monday and Wednesday. We have 14-8' Brunswick pool tables, 2 c","http://thestardustclub.com/","78748","0","2016","map","TMO_16","11940 Manchaca Road
Austin, TX 
(30.145458, -97.834276)"
"Bluebonnet Entertainment Inc","Business","Service & Support Business","Theater Arts"," "," "," "," "," "," ","78719","0","2014","map","SIAP","9111 Fm 812
Austin, TX 
(30.16181, -97.688581)"
"Purple Bee","Organization","Recording Studio","Music"," "," "," "," ","Our facilities in Lockhart, TX include professional recording studio and live video production soundstage - run completely by volunteers. ","http://www.purplebee.org","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Texas Toot","Organization","Education, Creative Learning, Professional Development","Music"," "," "," "," ","Early Music workshop with a full range of classes and special concerts","http://www.toot.org","78765","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Barsana Dham Hindu Temple","Organization","Cultural Heritage, Ethnicity, and Religious Groups","Other"," House of Worship"," "," "," ","Barsana Dham is a unique facility that fulfills an important need for the community by providing a place of worship and a center for traditional Indian cultural activities.  It is open as a place of worship to anyone who believes in God.  Barsana Dham is","http://www.BarsanaDham.org","78737","0","2016","map","NPA_org","400 Barsana Rd
Austin, TX 
(30.158119, -97.960429)"
"Austin Zoo And Animal Sanctuary","Landmark","Landmark","Other"," "," "," "," ","Austin Zoo is a rescue zoo that provides sanctuary to displaced animals from a variety of unfortunate and often neglectful situations.  The mission of the Austin Zoo is to assist animals in need, through rescue, rehabilitation and education.  Austin Zoo","http://www.austinzoo.org","78736","0","2014","map","SIAP","10808 Rawhide Trail
Austin, TX 
(30.257308, -97.936104)"
"Music Bus ROCKS!","Organization","Education, Creative Learning, Professional Development","Music"," "," "," "," ","The mobile music classroom that comes to you! With funding in the arts being continuously cut from school programs we are losing touch with the benefits music has on our lives. That is why we are creating a mobile environment where the arts","http://themusicbusrocks.com/","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Glaze Studio","Business","Video Production","Film/TV/Media"," "," "," "," "," "," ","78729","0","2014","map","SIAP","12702 Wittmer Dr
Austin, TX 
(30.442597, -97.759566)"
"Preservation Texas Inc","Organization","Historical Societies & Historic Preservation","Other"," "," "," "," "," "," ","78711","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"The Romani Gallery","Gallery/ Museum","Gallery","Visual Arts"," "," "," "," "," "," ","78702","1","2018","map","Brownk","1900 E 12th St
Austin, TX 
(30.273951, -97.719755)"
"Old Bakery And Emporium, City Of Austin,  Parks & Recreation","Gallery/ Museum","Gallery","Multidisciplinary"," Museum"," "," ","COA","A registered national landmark has graced Congress Avenue since 1876 and was featured in many O. Henry stories. The 1st floor features local arts & crafts. The 3rd floor features an Austin history exhibits & art gallery.

Free admission: Hours: Monday&nd","http://www.austintexas.gov/obemporium","78701","1","2014","map","SIAP","1006 Congress Ave
Austin, TX 
(30.271966, -97.741717)"
"Abell Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78735","0","2014","map","SIAP","2614 Ravello Ridge Dr
Austin, TX 
(30.285888, -97.862901)"
"Barnes & Noble","Business","Bookstore, Book Dealers","Literary Arts"," Literature"," "," "," "," "," ","78759","10","2014","map","SIAP","10000 Research Blvd
Austin, TX 
(30.393495, -97.746923)"
"Lasonrisa Productions Inc","Business","Video Production","Film/TV/Media"," Film/TV"," "," "," "," "," ","78732","0","2014","map","SIAP","7220 Cielo Azul Pass
Austin, TX 
(30.41411, -97.874993)"
"Greater Mt. Zion Church","House of Worship","House of Worship","Other"," House of Worship"," "," "," ","The Reason We Exist (Our Mission) We exist to introduce people to a Greater Leader, a greater way, a greater life.","http://www.gmzaustin.org","78702","1","2016","map","NPA_org","1801 Pennsylvania Ave
Austin, TX 
(30.271331, -97.720385)"
"Gujarati Samaj Of Greater Austin","Organization","Cultural Heritage, Ethnicity, and Religious Groups","Other"," Ethnic Heritage Group"," "," "," "," "," ","78720","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Rubber Repertory","Organization","Theater Company","Theater Arts"," "," "," "," ","The Rubber Repertory is maintained by Josh Meyer and Matt Hislope.  Their first show was on September 9, 2000 in Lawrence, Kansas.  We moved to Austin, Texas in 2001 and 2002.  More often than not, they like to blur the boundaries between art and life, h","http://www.rubberrep.org","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Central Texas Bluegrass Association Inc","Organization","Societies, Alliances, Professional Associations","Music"," Music"," "," "," "," ","http://www.centraltexasbluegrass.org","78766","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Engine Room","Event Venue","Event Venue","Music"," "," "," "," ","Welcoming jazz enthusiasts from all over to enjoy some of the best live classic jazz acts in town.  We support local early-jazz musicians by providing a once a month event for bands to jam out to attentive jazz enthusiasts (listeners and dancers).","http://www.engineroomjazz.com","78702","1","2016","map","NPA_org","3121 E 12Th St
Austin, TX 
(30.276343, -97.701969)"
"Damon Leo Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78746","0","2014","map","SIAP","3102 Bee Caves Rd
Austin, TX 
(30.272965, -97.797793)"
"Knights Of The Symphony [C/O Austin Symphony]","Organization","Band, Musical Group, Ensemble","Music"," Music"," "," "," ","Financial support for Austin Symphony","http://www.austinsymphony.org/about/organizations/knights-of-the-symphony","78701","1","2014","map","SIAP","1101 Red River St
Austin, TX 
(30.271101, -97.735142)"
"St. James Episcopal Church","House of Worship","House of Worship","Other"," House of Worship"," "," "," ","St. James Episcopal Church is a Christian faith community and cultural venue in East Austin that hosts a number of community events and activities.","http://www.stjamesaustin.org","78721","1","2016","map","NPA_ven","1941 Webberville Road
Austin, TX 
(30.282541, -97.675594)"
"Tunes Across Texas Mobile Dj's","Business","Service & Support Business","Music"," Music"," "," "," "," "," ","78734","0","2014","map","SIAP","501 Heron Dr
Austin, TX 
(30.357904, -97.950061)"
"Bear's Liar House Concert","Event/ Festival","House Concerts","Music","Folk/Acoustic","Live Music"," "," ","The Bear's Liar is a house concert venue located in Austin, TX. All donations go directly to the artists who play there.","http://bearslairaustin.com/","78758","0","2016","list","TMO_16","
Austin, TX 
(0.0, 0.0)"
"Troxell Communications","Business","Service & Support Business","Visual Arts"," "," "," "," "," "," ","78702","1","2014","map","SIAP","1310 Concho St
Austin, TX 
(30.274388, -97.72339)"
"Barracuda Steel Drums","Organization","Band, Musical Group, Ensemble","Music"," Music"," "," "," "," "," ","0","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Fandom Association of Central Texas","Organization","Education, Creative Learning, Professional Development","Literary Arts"," Media"," "," "," ","Fandom Association of Central Texas has been celebrating the reading (book club), writing (writers' workshop) and enjoying (convention) of science-fiction, fantasy, mystery and horror in Austin and surrounding Central Texas communities since 1981.","http://www.fact.org/","78755","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Austin Artists Network","Organization","Societies, Alliances, Professional Associations","Multidisciplinary"," "," "," "," ","We are a group of 200+ artists and other professionals in the art scene in Austin. We are working on improving our careers through mutual support.
","http://www.austinartistsnetwork.com/","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Bayou House Concerts","Event/ Festival","House Concerts","Music","Blues, Folk/Acoustic","Live Music"," "," ","Bayou Concerts is a house concert venue in the Round Rock, Texas area. We provide an enjoyable and intimate house concert venue for local and touring artists. Complete with a custom lighting and sound system, we combine the ambiance of a concert hall wit","http://www.BayouConcerts.com/","78728","0","2016","list","TMO_16","
Austin, TX 
(0.0, 0.0)"
"Jeanette The Bellydancer","Creative Workspace","Dance Studio","Dance"," Dance"," "," "," "," "," ","78704","0","2016","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Pictures-To-Paintings","Creative Workspace","Individual Studio, Workshop","Visual Arts"," "," "," "," "," "," ","78734","0","2018","map","Brownk","5035 McIntyre Cir
Austin, TX 
(30.406965, -97.915008)"
"Austin FilmWorks","Organization","Education, Creative Learning, Professional Development","Film/TV/Media"," "," "," "," ","Since fall of 1993, Austin FilmWorks has offered college level filmmaking courses with the aim of providing solid information and experience that students may use to create their own film and video projects. The students are diverse in background, practi","http://www.meticulouspictures.com","78765","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Jupiter Index Web Magazine","Publication","Website","Film/TV/Media"," Media"," "," "," ","Web magazine re history/changing face of music","http://www.jupiterindex.com/about/about.html","78768","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Robert Wood Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78708","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Dirigo Group","Organization","Theater Company","Theater Arts"," "," "," "," ","The Dirigo Group is an Austin based theatre company that features proactive, impassioned productions for its audiences.  Founded in 1999 by a group of artists from around the world gathered in Austin in search of a project, the Dirigo Group has worked wi","http://www.thedirigogroup.com/","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Waterloo Sound Conspiracy","Organization","Band, Musical Group, Ensemble","Music"," "," "," "," ","Waterloo Sound Conspiracy is a ground-breaking ensemble of classically-trained musicians who share a passion to revive the art of classical music by breaking down boundaries of tradition. Their performances have ranged from clubs to classrooms, neighborh","http://www.waterloosoundconspiracy.com","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Austin Marathi Mandal","Organization","Cultural Heritage, Ethnicity, and Religious Groups","Multidisciplinary","Ethnic Heritage Group"," "," "," "," ","http://www.austinmarathimandal.org/","78737","0","2016","map","CAMP Kit D1","8700 South View Road
Austin, TX 
(30.231415, -97.912796)"
"South Asian's International Volunteer Association","Organization","Societies, Alliances, Professional Associations","Multidisciplinary","Ethnic Heritage Group"," "," "," ","Doll Making for ill children, knitting, volunteer work","http://www.saiva.org/?q=about","0","0","2016","list","CAMP Kit D1","
Austin, TX 
(0.0, 0.0)"
"Liminal Sound Series","Organization","Event/ Festival","Music"," "," "," "," ","The Liminal Sound Series is a live concert performance series dedicated to the commissioning of new works and collaborations between visionary composers and Austin, TX. based musicians and performers.","http://liminalsoundseries.com/","78704","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Austin African American Book Festival","Event/ Festival","Event/ Festival","Film/TV/Media"," Media"," "," "," ","non-profit group that has been organizing the festival since 2007.
","http://aabookfest.com","78702","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Rosewood Neighborhood Park, Henry G. Madison Cabin","Landmark","Landmark","Other"," "," "," ","COA"," "," ","78702","1","0","map","COA_datamart","2300 Rosewood Ave.
Austin, TX 
(30.271318, -97.714334)"
"Austin Radio Television Film Foundation","Organization","Radio Station","Film/TV/Media"," Film/TV"," "," "," "," "," ","78702","1","2014","map","SIAP","1143 Northwestern Ave
Austin, TX 
(30.269042, -97.715769)"
"Girls Rock Austin","Organization","Education, Creative Learning, Professional Development","Music"," "," "," "," ","Girls Rock Camp Austin is a summer day camp that offers musical instruction as well as a variety of workshops and performances in a positive, all-female environment intended to give girls the tools to succeed in music-related ventures, as well as in othe","http://girlsrockcampaustin.org/","78704","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
