"asset_name","asset_type","asset_notes","live_music","event_venu","discipline","web_notes","website","council_district","coa_facility","mapkey","date_updat","map_list","source","location_1"
"Shooters Billiards & Sports Bar","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Shooters is a pool hall / sports bar with entertainment including live music and karaoke. Live music on Friday nights, no cover. Open daily from 11:00am to 2:00am. Happy hour from 11:00am to 7:00pm .","http://www.shootersbilliards.net","4"," ","4022","2016","xy","TMO_16","11416 RR 620 North
Austin, TX 78726
(30.360318, -97.692547)"
"Shooting Star Graphics","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","6"," ","6081","2014","xy","SIAP","2127 Lohmans Crossing Rd
Austin, TX 78734
(30.3711, -97.8699)"
"South Austin Music","Business","Supplier, Retail"," "," ","Music"," "," ","5"," ","5070","2014","xy","SIAP","1402 S Lamar Blvd
Austin, TX 78704
(30.254627, -97.762709)"
"Texas Book Festival","Event/ Festival","Event/ Festival"," "," ","Literary Arts"," "," ","9"," ","9158","2014","xy","SIAP","610 Brazos St
Austin, TX 78701
(30.267883, -97.741714)"
"Showershade by Chris Doyle","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","0","COA","668","2016","xy","AIPP","4800 Shaw Ln
Austin, TX 78744
(30.186917, -97.706601)"
"Shrewd Productions","Organization","Theater Company"," "," ","Theater Arts","Shrewd Productions features productions that are well-produced, thoughtful, provocative, and entertaining and focus on concentrating on women's voices, new plays, and work developed through a collaborative, artistic approach.","http://www.shrewdproductions.com","0"," ","108","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"Shutterbug Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","1"," ","1218","2014","xy","SIAP","5117 English Glade Dr
Austin, TX 78724
(30.273177, -97.632313)"
"Shweiki Media","Business","Book Publishers"," "," ","Literary Arts"," "," ","9"," ","9608","2014","xy","SIAP","511 W 41St St
Austin, TX 78751
(30.30576, -97.735179)"
"Sibley Peteet Design","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","9"," ","9397","2014","xy","SIAP","200 S Congress Ave
Austin, TX 78704
(30.260165, -97.74604)"
"Side Bar","Bar/Club/Venue","Bar/Club/Venue"," "," ","Music","The Side Bar began in 2004 and is Austin based and owned.","http://thesidebaraustin.com","9"," ","9236","2016","xy","NPA_org","602 East 7Th Street
Austin, TX 78701
(30.270852, -97.748022)"
"Sierra Ridge Community Center","Recreation/Community Center","Recreation/ Community Center"," ","Event Venue","Other"," ","http://foundcom.org/","3"," ","3342","2016","addrs","D4 Meeting","201 W St Elmo Rd
Austin, TX 78745
(30.218782, -97.768333)"
"Sunday Drum Circles at Mother Pecan Tree","Event/ Festival","Event/ Festival","Live Music"," ","Other"," "," ","0"," ","457","2016","xy","D1 Meeting","S Entrance Barton Springs Pool
Austin, TX 78746
(30.210637, -97.969371)"
"SIGGRAPH Austin Professional Chapter (computer graphics professionals)","Organization","Societies, Alliances, Professional Associations"," "," ","Technology","Our purpose is to foster a membership community whose core values help them to catalyze the innovation and application of computer graphics and interactive techniques.","http://austin.siggraph.org","3"," ","3334","2016","xy","NPA_org","2400 Riverside Farms
Austin, TX 78741
(30.223974, -97.718772)"
"Sight & Sound Productions","Business","Service & Support Business"," "," ","Theater Arts"," "," ","6"," ","6115","2014","xy","SIAP","10419 Doering Ln
Austin, TX 78750
(30.450523, -97.804617)"
"Sight Aint Seeing Productions","Business","Service & Support Business"," "," ","Theater Arts","SAS Productions is a creative arts organzation that provides family oriented theatrical productions, workshops and presentation.","http://sasprod.org","0"," ","236","2014","list","SIAP","
Austin, TX 78714
(0.0, 0.0)"
"Sign of the Times by Armando (Tanner) Martinez","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","3","COA","3441","2016","xy","AIPP","2398 Holly St
Austin, TX 78702
(30.249766, -97.719208)"
"Sikara & Co Llc","Creative Workspace","Individual Studio, Workshop"," "," ","Textile/Apparel"," "," ","9"," ","9029","2014","xy","SIAP","417 W 2Nd St
Austin, TX 78701
(30.265083, -97.747969)"
"Silver Bee Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","0"," ","346","2014","xy","SIAP","3116 Rippling Creek Ct
Austin, TX 78732
(30.377692, -97.910749)"
"Silver Thistle Pipes And Drums","Organization","Band, Musical Group, Ensemble"," "," ","Music"," "," ","7"," ","7192","2014","xy","SIAP","8306 Polar Dr
Austin, TX 78757
(30.358475, -97.720479)"
"Simpson united Methodist Church","House of Worship","House of Worship"," "," ","Other","Listed on the National Register of Historic Places"," ","1"," ","1049","2016","addrs","D1 Meeting","1701 E 12th St
Austin, TX 78702
(30.273404, -97.721938)"
"SIMS Foundation","Organization","Community Development & Charitable Giving"," "," ","Music","The SIMS Foundation was founded in 1995 by the friends and family of Sims Ellison, a young Austin musician who died that summer from suicide after battling depression. Their aim was to provide access to low-cost counseling and other mental health service","http://www.simsfoundation.org","0"," ","109","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
