key,value,formatted,unit,source,note,module,macroname
census_incshare_any_live_performance_local,92.40393208221627,92.4%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives reporting any income at all from Live performance, local - all, most, some or very little, excluding none. Denominator 1119. Source labels follow the Socrata column dictionary for dataset an3p-3yqx and the five-segment distributions on Data Appendix slide 40, which agree with each other and with the microdata; see census_caveat_slide41 before quoting the same value from slide 41. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAnyLivePerformanceLocal
census_incshare_any_live_performance_touring,75.31645569620252,75.3%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives reporting any income at all from Live performance, touring - all, most, some or very little, excluding none. Denominator 948. Source labels follow the Socrata column dictionary for dataset an3p-3yqx and the five-segment distributions on Data Appendix slide 40, which agree with each other and with the microdata; see census_caveat_slide41 before quoting the same value from slide 41. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAnyLivePerformanceTouring
census_incshare_any_merchandise,56.13825983313469,56.1%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives reporting any income at all from Merchandise - all, most, some or very little, excluding none. Denominator 839. Source labels follow the Socrata column dictionary for dataset an3p-3yqx and the five-segment distributions on Data Appendix slide 40, which agree with each other and with the microdata; see census_caveat_slide41 before quoting the same value from slide 41. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAnyMerchandise
census_incshare_any_recordings_and_royalties,70.68965517241379,70.7%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives reporting any income at all from Recordings and royalties - all, most, some or very little, excluding none. Denominator 928. Source labels follow the Socrata column dictionary for dataset an3p-3yqx and the five-segment distributions on Data Appendix slide 40, which agree with each other and with the microdata; see census_caveat_slide41 before quoting the same value from slide 41. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAnyRecordingsAndRoyalties
census_incshare_any_songwriting_and_mechanicals,50.9895227008149,51.0%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives reporting any income at all from Songwriting and mechanicals - all, most, some or very little, excluding none. Denominator 859. Source labels follow the Socrata column dictionary for dataset an3p-3yqx and the five-segment distributions on Data Appendix slide 40, which agree with each other and with the microdata; see census_caveat_slide41 before quoting the same value from slide 41. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAnySongwritingAndMechanicals
census_incshare_any_studio_and_session_work,57.80409041980626,57.8%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives reporting any income at all from Studio and session work - all, most, some or very little, excluding none. Denominator 929. Source labels follow the Socrata column dictionary for dataset an3p-3yqx and the five-segment distributions on Data Appendix slide 40, which agree with each other and with the microdata; see census_caveat_slide41 before quoting the same value from slide 41. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAnyStudioAndSessionWork
census_incshare_any_teaching,40.97452934662237,41.0%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives reporting any income at all from Teaching - all, most, some or very little, excluding none. Denominator 903. Source labels follow the Socrata column dictionary for dataset an3p-3yqx and the five-segment distributions on Data Appendix slide 40, which agree with each other and with the microdata; see census_caveat_slide41 before quoting the same value from slide 41. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAnyTeaching
census_intend_continue_definitely,74.73684210526315,74.7%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share answering DEFINITELY yes to continuing music work, 1900 respondents. The published 89 percent folds in maybe yes; this is the firm part of it. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIntendContinueDefinitely
census_intend_continue_music,88.78947368421053,88.8%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share intending to continue their music work over the next three years - definitely yes plus maybe yes - 1900 respondents. Verifies the published 89 percent (Summary Report printed p.7). KUT reported 84 percent; use 89 and cite the report, not the coverage. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIntendContinueMusic
census_intend_stay_austin,64.10526315789473,64.1%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share intending to still live in greater Austin in three years - definitely yes plus maybe yes - 1900 respondents. Verifies the published 64 percent (Summary Report printed p.7). The 36 percent complement is mostly uncertainty rather than a stated intention to leave: unsure 25.6 points, maybe no 6.7, definitely no 3.6. Say so whenever the 36 percent is quoted. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIntendStayAustin
census_intend_stay_definitely,44.15789473684211,44.2%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share answering DEFINITELY yes to still living in greater Austin in three years, 1900 respondents. Below half. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIntendStayDefinitely
census_logit_n,1607,"1,607",respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Estimation sample for the retention logit that includes housing tenure and insurance. It is smaller than the 1,900 who answered the retention item, because tenure and insurance are themselves unevenly answered. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusLogitN
census_logit_renter_or,0.3880,0.39,odds ratio,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Odds ratio on renting, relative to owning, in a logit of intending to stay in greater Austin on primary sector, years of experience, housing tenure and health insurance. 1607 respondents, p = 0.0000. Association only: tenure is not randomly assigned, and income, age and family stage all move with it. None of those can be controlled for, because the census collected no income variable and age is missing for 28 percent of respondents. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusLogitRenterOr
census_miles_mean,10.6228,10.6 miles,miles,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Mean self-reported distance from downtown Austin, 2150 respondents who answered. Matches the published 10.6-mile average. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusMilesMean
census_miles_median,8.0000,8 miles,miles,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Median self-reported distance from downtown Austin, 2150 respondents. Matches the published 8-mile median. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusMilesMedian
census_n_city_item,2149,"2,149",respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Respondents who answered the City of Austin residency item. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNCityItem
census_n_gigs_item,1086,"1,086",respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Music creatives who answered the paid-local-performances-per-month item. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNGigsItem
census_n_independent_promoters,43,43,respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Presenters identifying as independent promoters rather than room operators. Below the 50-record floor, so no statistic is published for this group alone and the Data Appendix operator-versus-promoter split (slides 56 and 57) is not reproduced. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNIndependentPromoters
census_n_presenters_ranking,177,177,respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Respondents who completed the nine-item ranking of business pressures. Above the 50-record floor in aggregate, so it is published, but it is 8 percent of the survey and the thinnest block in this module. Only 77 of the 108 respondents whose PRIMARY sector is venue or presenter answered it; the other 100 are creatives and industry professionals who also present gigs, so this is a presenter-activity population, not a venue census. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNPresentersRanking
census_n_respondents,2227,"2,227",respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Respondent records in the published microdata file. The Summary Report headline count is 2,260; the microdata release carries 2,227 rows, 33 fewer, and the release documents no reason. All shares in this module use the 2,227-row file. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNRespondents
census_n_sector_creative,1462,"1,462",respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Respondents whose primary music ecosystem sector is Music Creative. The sector item itself was answered by 2128 of 2227. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNSectorCreative
census_n_sector_exited,69,69,respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Selected None of these - Exit the Census, which terminated the questionnaire. They remain in the 2,227-row file and in any all-respondent denominator, but answer almost nothing else, so they are excluded from the sector breakouts. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNSectorExited
census_n_sector_industry,489,489,respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Primary sector Music Industry, of 2128 who answered the sector item. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNSectorIndustry
census_n_sector_presenter,108,108,respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Primary sector Music Venue or Presenter, of 2128 who answered the sector item. This is the smallest of the three role groups and it caps everything the venue section can say. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNSectorPresenter
census_n_venue_operators,131,131,respondents,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Presenters reporting a numeric legal capacity band, that is, operators of a physical room. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusNVenueOperators
