category,issuing_body,title,vintage,retrieval_date,url,workstream,limitation_note
Federal statistical sources,National Endowment for the Arts,Texas Fact Sheet,filename dated 2025; the PDF’s own footer reads “Produced 2026”,2026-08-01,https://www.arts.gov/sites/default/files/2025_texas_fact_sheet.pdf,03_creative_economy_bea,rounds Texas’s ACPSA GDP share to “3 percent”; the underlying BEA ratio is 2.5 percent
Federal statistical sources,"U.S. Small Business Administration, Office of Inspector General",Report 25-21: SBA’s Oversight of Shuttered Venue Operators Grant Recipients,July 2025,2026-08-01,https://www.oversight.gov/sites/default/files/documents/reports/2025-07/SBA%20OIG%20Report%2025-21.pdf,07_svog_federal_relief,
Federal statistical sources,Congressional Research Service,Report R46689: SBA Shuttered Venue Operators Grant Program (SVOG),,2026-08-01,https://www.congress.gov/crs_external_products/R/PDF/R46689/R46689.5.pdf,07_svog_federal_relief,
Federal statistical sources,U.S. Small Business Administration,New Report Shows Consequential Impacts of SBA Pandemic Relief,"January 15, 2025",2026-08-01,https://www.sba.gov/article/2025/01/15/new-report-shows-consequential-impacts-sba-pandemic-relief,07_svog_federal_relief,
Federal statistical sources,U.S. Department of Labor,"Apprenticeship.gov, Data and Statistics","dashboards cover FY Oct. 2014--Jul. 15, 2026",2026-08-01,https://www.apprenticeship.gov/data-and-statistics,10_apprenticeship_workforce,dashboards are Tableau-rendered with no static export; no Texas-by-occupation cross-tab is obtainable
Federal statistical sources,U.S. Department of Labor,"Registered Apprenticeship Partners Information Data System (RAPIDS), dataset listing",,2026-08-01,https://catalog.data.gov/dataset/registered-apprenticeship-partners-information-database-system-rapids-dataset,10_apprenticeship_workforce,access level “non-public”
Federal statistical sources,U.S. House of Representatives,"Living Wage for Musicians Act, H.R. 7763, 118th Congress (Rep. Tlaib et al.)","introduced March 20, 2024",2026-08-01,URL not recorded,11_streaming_royalties,text retrieved via GovInfo; exact URL not recorded
Federal statistical sources,U.S. House of Representatives,"Living Wage for Musicians Act, H.R. 5664, 119th Congress (Rep. Tlaib et al.)","reintroduced September 30, 2025",2026-08-01,URL not recorded,11_streaming_royalties,text retrieved via GovInfo; exact URL not recorded
State of Texas sources,"Texas Legislature, 87th R.S. (2021)","Senate Bill 609, enrolled (creates Government Code ch. 485, subch. C, the Texas Music Incubator Rebate Program)","effective September 1, 2021",2026-08-01,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/SB00609F.pdf,06_state_policy_benchmark,the enacting statute; House Bill 2806 (86R) is a predecessor bill that died without a Senate vote
State of Texas sources,"Texas Legislature, 86th R.S. (2019)","House Bill 2806, bill history","passed the House April 24, 2019; died on the Senate intent calendar",2026-08-01,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=86R&Bill=HB2806,06_state_policy_benchmark,not enacted; do not cite as the enacting statute for the incubator rebate
State of Texas sources,Texas Legislative Budget Board,"Fiscal Note, House Bill 2806 (86R), as introduced",2019,2026-08-01,https://capitol.texas.gov/tlodocs/86R/fiscalnotes/html/HB02806I.htm,06_state_policy_benchmark,
State of Texas sources,Texas Legislative Budget Board,"Fiscal Note, Senate Bill 609 (87R), as introduced","April 6, 2021",2026-08-01,https://capitol.texas.gov/tlodocs/87R/fiscalnotes/html/SB00609I.htm,06_state_policy_benchmark,the engrossed/enrolled fiscal note was not available
State of Texas sources,Texas Senate Research Center,"Bill Analysis, Senate Bill 609 (87R)",2021,2026-08-01,https://www.lrl.texas.gov/scanned/srcBillAnalyses/87-0/SB609RPT.PDF,06_state_policy_benchmark,
State of Texas sources,"Texas Legislature, 89th R.S. (2025)","Senate Bill 22, enrolled (Texas moving image industry incentive fund, adds Tax Code § 151.801(g))","effective 2025; sunsets September 1, 2035",2026-08-01,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00022F.pdf,06_state_policy_benchmark,"$300 million per biennium for film, against $20.2 million per biennium for the music incubator rebate"
State of Texas sources,Texas Tax Code,"§ 351.101, Use of [Municipal Hotel Occupancy] Tax Revenue",current,2026-08-01,https://texas.public.law/statutes/tex._tax_code_section_351.101,06_state_policy_benchmark,third-party statute mirror; the official statutes.capitol.texas.gov deep link did not resolve; verify before publication
State of Texas sources,"Texas Legislature, 89th R.S. (Senate Bill 1, 2025)","General Appropriations Act, 2026--27 biennium","LBB print dated September 19, 2025",2026-08-01,https://www.lbb.texas.gov/Documents/GAA/General_Appropriations_Act_2026_2027.pdf,06_state_policy_benchmark,"Rider 40, Rider 45, Strategy C.2.1, and footnote 3"
State of Texas sources,"Texas Legislature, 88th R.S. (House Bill 1, 2023)","General Appropriations Act, 2024--25 biennium",2023,2026-08-01,https://capitol.texas.gov/tlodocs/88R/billtext/pdf/HB00001F.pdf,06_state_policy_benchmark,"Rider 39, the first Texas Music Incubator appropriation"
State of Texas sources,"Texas Legislature, 87th R.S. (Senate Bill 1, 2021)","General Appropriations Act, 2022--23 biennium",2021,2026-08-01,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/SB00001F.pdf,06_state_policy_benchmark,"contains no Texas Music Incubator appropriation, confirmed by full-text search"
State of Texas sources,"Texas Music Office, Office of the Governor","Texas Music Incubator Rebate Program (TMIR), program page",current as of retrieval,2026-08-01,https://gov.texas.gov/music/tmir,06_state_policy_benchmark,sole source for the FY2026 award total ($10.1 million / 180 recipients / 60 cities)
State of Texas sources,Office of the Governor of Texas,Governor Abbott Announces Texas Music Incubator Rebate Program,"September 1, 2023",2026-08-01,https://gov.texas.gov/news/post/governor-abbott-announces-texas-music-incubator-rebate-program,06_state_policy_benchmark,
State of Texas sources,Texas Music Office,Texas Music Incubator Rebate Program brochure and applicant checklist,undated,2026-08-01,https://gov.texas.gov/uploads/files/music/TMIR_Brochure.pdf,06_state_policy_benchmark,image-based PDFs; text extraction returns nothing
State of Texas sources,Texas Comptroller of Public Accounts,"Manual of Accounts, Texas Music Incubator Account No. 5193",Fiscal 2025 edition,2026-08-01,https://fmcpa.cpa.state.tx.us/fiscalmoa/fund.jsp?num=5193,06_state_policy_benchmark,
State of Texas sources,Texas Music Office,"Music Friendly Texas (Music Friendly Communities), program page",current as of retrieval,2026-08-01,https://gov.texas.gov/music/page/music-friendly-communities,06_state_policy_benchmark,the page’s headline count (92) and its own transcribed list (94 entries) disagree
State of Texas sources,"Texas Music Office, Office of the Governor",Texas Music Office homepage,current as of retrieval,2026-08-01,https://gov.texas.gov/music,06_state_policy_benchmark,
State of Texas sources,Texas Music Office (via Internet Archive),"Texas Music Industry Directory, archived snapshots (talent, business, and radio listings)",April 2025 snapshots,2026-08-01,http://web.archive.org/web/20250413id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,08_venues_ecosystem,the live directory (texasmusic.reel-scout.com) is Cloudflare-gated; the legacy gov.texas.gov/Apps/Music/Directory application is retired; no registration counts could be verified
State of Texas sources,"TXP, Inc. (for the Texas Music Office)",The 2024 Economic Impact of Music in Texas,January 2025 (2024 reference year),2026-08-01,https://gov.texas.gov/uploads/files/music/TXP_TX_Music_Impact_Winter_2025.pdf,06_state_policy_benchmark,job counts derive from TMO’s own self-listed business directory; revenue ratios are anchored to the 2017 Economic Census; 2024 is the first year to include tourism
State of Texas sources,Texas Music Office,"Economic impact study index (2015, 2017, 2019, 2021, 2023, 2025 editions)",current as of retrieval,2026-08-01,https://gov.texas.gov/music/page/economic-impact-study,06_state_policy_benchmark,only the 2025 edition was obtained; earlier editions were not downloaded
State of Texas sources,Texas Music Office,Tourism Commission presentation (City of Austin EDIMS document),undated; content circa 2023,2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=428363,06_state_policy_benchmark,
State of Texas sources,Texas Music Office,"Facebook post, FY2026 TMIR results",circa 2026,2026-08-01,https://www.facebook.com/texasmusicoffice/posts/1393226669502889/,06_state_policy_benchmark,
State of Texas sources,Texas Commission on the Arts,"Legislative Appropriations Request, FY2024--2025 biennium",2022,2026-08-01,https://www.arts.texas.gov/wp-content/uploads/2022/07/2024-2025_LAR_TCA_2022-07-28.pdf,03_creative_economy_bea,baseline request only; does not reflect final enacted supplemental riders or grants
State of Texas sources,Texas Commission on the Arts,FY26 Operating Budget,"as of October 31, 2025",2026-08-01,https://www.arts.texas.gov/wp-content/uploads/2026/02/FY26_Operating_Budget_2025-10-31.pdf,03_creative_economy_bea,
State of Texas sources,Texas Commission on the Arts,FY25 Operating Budget,"as of July 31, 2025",2026-08-01,https://www.arts.texas.gov/wp-content/uploads/2025/09/FY25_Operating_Budget.pdf,03_creative_economy_bea,
State of Texas sources,Texas Commission on the Arts,Texas Commission on the Arts homepage,current as of retrieval,2026-08-01,https://www.arts.texas.gov/,06_state_policy_benchmark,no discipline-level grant breakout is published; music’s share of TCA grants is not available
State of Texas sources,Texas Comptroller of Public Accounts,"Mixed Beverage Gross Receipts (Texas Open Data Portal, dataset naix-2893) [Travis County and City of Austin extract (267,708 rows retrieved; 3,802,638 rows statewide)]",obligation end dates 2007-01 through 2026-08; dataset last refreshed 2026-08-01 per its own metadata,2026-08-01,https://data.texas.gov/dataset/Mixed-Beverage-Gross-Receipts/naix-2893,08_venues_ecosystem,mixed-beverage (liquor) permittees only; excludes beer-and-wine-only and non-alcohol venues
City of Austin sources,City of Austin,"Ordinance No. 20190919-149 (creates the Live Music Fund; amends City Code 11-2-7, adds 11-2-8)","adopted September 19, 2019; effective September 30, 2019",2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=328565,04_city_programs_lmf,
City of Austin sources,City of Austin,"Resolution No. 20160303-019, Austin Music and Creative Ecosystem Omnibus Resolution","adopted March 3, 2016",2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=253186,04_city_programs_lmf,
City of Austin sources,"City of Austin, Visitor Impact Task Force","Visitor Impact Task Force, Final Report to Austin City Council","June 30, 2017",2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=279988,04_city_programs_lmf,
City of Austin sources,City of Austin,Resolution No. 20160818-075 (creates the 18-member Visitor Impact Task Force),circa 2017,2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=285060,04_city_programs_lmf,resolution number not printed on the retrieved copy
City of Austin sources,"City of Austin, Music & Entertainment Division","Live Music Fund Event Program, proposed guidelines (draft)","dated August 16, 2021",2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=365831,04_city_programs_lmf,"draft, not adopted text"
City of Austin sources,"City of Austin, Music Commission",Recommendation 20220207-3b on Live Music Fund design,"February 7, 2022",2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=376727,04_city_programs_lmf,
City of Austin sources,"City of Austin, Music & Entertainment Division","Austin Live Music Fund, 2024 Program Guidelines",2024,2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=423038,04_city_programs_lmf,
City of Austin sources,City of Austin,"Austin Live Music Fund, 2024 draft Program Guidelines",2024 (draft),2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=426112,04_city_programs_lmf,
City of Austin sources,"City of Austin, Music Commission","Recommendation 20250203-010, “Evolution of the Austin Live Music Fund (2025 and beyond)”","February 3, 2025",2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=445601,04_city_programs_lmf,
City of Austin sources,City of Austin,Resolution No. 20230720-123 (sets the City’s musician pay rate),"adopted July 20, 2023",2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=413057,04_city_programs_lmf,applies to City-commissioned performances only
City of Austin sources,City of Austin,Resolution (Version 3) on live music venue preservation,circa 2020,2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=351220,04_city_programs_lmf,version-3 draft; resolution number not printed on the retrieved copy; the related Ordinance 20201001-052 (SAVES Fund) and Resolution 20200103-013 (Live Music Venue Preservation Fund) were not separately captured (URL not recorded for either)
City of Austin sources,City of Austin,"Ordinance No. 20200423-067 (Austin Music Disaster Relief Fund, $1.5 million)","adopted April 23, 2020",2026-08-01,URL not recorded,04_city_programs_lmf,primary PDF not captured; cited only via secondary reporting
City of Austin sources,"City of Austin, Law Department",Draft ordinance amending City Code Chapter 9-2 (Red River extended-hours pilot),"dated March 30, 2018",2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=296553,08_venues_ecosystem,
City of Austin sources,City of Austin,"Live Music Fund, FY2023 Event Program Awardee List",2023,2026-08-01,https://austin.widen.net/content/jfxwxsxktx/pdf/2023LiveMusicFundEventProgramAwardeeList.pdf,04_city_programs_lmf,"369 awards, $3,490,000 by independent line-item tally (press reports 368 awardees / $3.5 million)"
City of Austin sources,City of Austin,"Austin Live Music Fund, FY2024 Awardee List",2024,2026-08-01,https://austin.widen.net/content/bpzuacfkk8/pdf/FY24-AwardeeList_Austin-Live-Music-Fund.pdf,04_city_programs_lmf,"136 awards, $4,365,000 by independent line-item tally"
City of Austin sources,City of Austin,2026 ACME Funding Program Award List (Live Music Fund and Elevate),March 2026,2026-08-01,https://austin.widen.net/s/hhgtdnjqmn/almf_acme-2026-funding-program-award-list,04_city_programs_lmf,internally inconsistent totals (the venue count and the musician/promoter subtotal each disagree with the document’s own line items by a small margin); cite the document’s stated totals
City of Austin sources,City of Austin,"Creative Space Assistance Program, FY2019 award list",FY2019,2026-08-01,https://austin.widen.net/view/pdf/36ruwqr9dt/FY19-CSAP-AWARDS.pdf?t.download=true,04_city_programs_lmf,
City of Austin sources,City of Austin,"Creative Space Assistance Program, FY2023 award list",FY2023,2026-08-01,https://austin.widen.net/view/pdf/9xav5mpgtl/FY23-CSAP-AWARDS.pdf?t.download=true,04_city_programs_lmf,
City of Austin sources,City of Austin,"Creative Space Assistance Program, FY2026 award list",FY2026,2026-08-01,https://austin.widen.net/s/m2dzk6qcvg/csap_acme-2026-funding-program-award-list,04_city_programs_lmf,
City of Austin sources,City of Austin,"Creative Space Assistance Program, program page",current as of retrieval,2026-08-01,https://www.austintexas.gov/creative-space-assistance-program,04_city_programs_lmf,
City of Austin sources,City of Austin,City of Austin Announces 2026 Cultural Funding Awards (news release),March 2026,2026-08-01,https://www.austintexas.gov/communications/news/city-austin-announces-2026-cultural-funding-awards,04_city_programs_lmf,
City of Austin sources,City of Austin,Live Music Fund program page (ATX Music),current as of retrieval; FY27 cycle,2026-08-01,https://www.austintexas.gov/atxmusic/live-music-fund,04_city_programs_lmf,
City of Austin sources,"City of Austin, Office of Arts, Culture, Music and Entertainment (ACME)","Funding programs overview page (Elevate, Thrive, Live Music Fund, Heritage Preservation, Nexus, CSAP)",current as of retrieval,2026-08-01,https://www.austintexas.gov/arts-culture/funding-programs,04_city_programs_lmf,
City of Austin sources,Create Austin (Long Center for the Performing Arts),Austin Live Music Fund Application Breakdown,2024,2026-08-01,https://createaustin.org/wp-content/uploads/2024/03/Austin-Live-Music-Fund-Application-Breakdown2.pdf,04_city_programs_lmf,
City of Austin sources,"City of Austin, Office of the City Auditor",Special Request: EDD Culture and Arts Funding,October 2024,2026-08-01,https://austin.widen.net/view/pdf/pifyu2e2j6/Special_Request_EDD_Culture_and_Arts_Funding_October_2024.pdf?t.download=true,04_city_programs_lmf,scope explicitly excludes funding for music or music-disaster relief
City of Austin sources,"City of Austin, Office of the City Auditor",Cultural Arts Contract Monitoring,September 2018,2026-08-01,https://austin.widen.net/view/pdf/jep13duk08/Cultural_Arts_Contract_Monitoring_September_2018.pdf?t.download=true,04_city_programs_lmf,
City of Austin sources,"City of Austin, Office of the City Auditor",Audit reports index,checked 2026-08-01,2026-08-01,https://www.austintexas.gov/auditor/audit-reports,04_city_programs_lmf,no music-specific audit exists in the index
City of Austin sources,City of Austin (Open Budget ATX / Socrata),"Revenue Open Budget – revised (5rhv-xasu) [Live Music Fund, Iconic Venue Fund, Cultural Arts Fund, Historic Preservation Fund, HOT Fund]",FY2021--FY2027,2026-08-01,https://data.austintexas.gov/resource/5rhv-xasu.csv,04_city_programs_lmf,
City of Austin sources,City of Austin (Open Budget ATX / Socrata),"Expense Open Budget – revised (yeeq-kk6v) [same six HOT-related funds, expenditure side]",FY2021--FY2027,2026-08-01,https://data.austintexas.gov/resource/yeeq-kk6v.csv,04_city_programs_lmf,
City of Austin sources,City of Austin (Open Budget ATX / Socrata),"Program Budget Operating Budget vs. Expense Raw Data (g5k8-8sud) [fund/department/unit/expense-object detail, incl. ACME and Music and Entertainment activity lines]",FY2026 Q3,2026-08-01,https://data.austintexas.gov/resource/g5k8-8sud.csv,04_city_programs_lmf,single fiscal year only; no time series possible
City of Austin sources,City of Austin (Socrata),"Cultural Funding Awards (x6aj-qng8) [6,476 individual awards]",1982--FY2023; dataset last updated 2024-02-29,2026-08-01,https://data.austintexas.gov/resource/x6aj-qng8.csv,04_city_programs_lmf,"Cultural Arts Fund only, not the Live Music Fund; FY2022 is missing entirely"
City of Austin sources,City of Austin (Socrata),Median Earnings of Creative Sector Occupations (2qxc-8cme) [54 rows],vintage not stated in metadata,2026-08-01,https://data.austintexas.gov/resource/2qxc-8cme.csv,04_city_programs_lmf,verify vintage before use
City of Austin sources,City of Austin (Socrata),"Creative Sector Industry Codes, 2016 (mbwg-yjpy) [51 rows; the City’s own NAICS-based definition of the creative sector]",2016,2026-08-01,https://data.austintexas.gov/resource/mbwg-yjpy.csv,04_city_programs_lmf,
City of Austin sources,City of Austin (Socrata),"Creative Workspaces, Performance Venues, Galleries & Museums (qxfh-ycp7) [2,136 rows, facility inventory]",last refreshed 2016-11-11,2026-08-01,https://data.austintexas.gov/resource/qxfh-ycp7.csv,08_venues_ecosystem,describes the venue stock as of roughly a decade before this project
City of Austin sources,City of Austin (Socrata),"Number and Percentage of Creatives Reporting Access to Affordable Creative Space (r5j2-ynwq) [266 rows, survey-derived indicator]",2017 Creative Space Survey,2026-08-01,https://data.austintexas.gov/resource/r5j2-ynwq.csv,04_city_programs_lmf,
City of Austin sources,City of Austin (Socrata),"Creative Content Incentive Program Agreements (qwjz-np8k) [10 rows; film/creative-content incentives, not music grants]",,2026-08-01,https://data.austintexas.gov/resource/qwjz-np8k.csv,04_city_programs_lmf,
City of Austin sources,City of Austin (Socrata),"Jobs Supported, Economic Development Department (69de-ksja) [27 rows]",,2026-08-01,https://data.austintexas.gov/resource/69de-ksja.csv,04_city_programs_lmf,
City of Austin sources,City of Austin (Socrata),"Sound Ordinance Permits (ryu3-tuin) [6,989 rows; includes Outdoor Music Venue permits]",,2026-08-01,https://data.austintexas.gov/resource/ryu3-tuin.csv,08_venues_ecosystem,
City of Austin sources,City of Austin (Socrata),"Sound Ordinance Permits, geographic extract (g3rj-dfgm) [same permit universe, geocoded]",,2026-08-01,https://data.austintexas.gov/resource/g3rj-dfgm.csv,08_venues_ecosystem,
City of Austin sources,City of Austin (Socrata),"CAMP Arts and Cultural Facilities, 2017 (xjsy-32ku) and 2018 (8kxv-xaqc) [Cultural Arts Master Plan facility inventories]",2017 and 2018,2026-08-01,https://data.austintexas.gov/resource/xjsy-32ku.csv,08_venues_ecosystem,
City of Austin sources,City of Austin (Socrata),ACME Museums and Cultural Centers (w2pp-ceu8),,2026-08-01,https://data.austintexas.gov/resource/w2pp-ceu8.csv,08_venues_ecosystem,
City of Austin sources,City of Austin (Socrata),"ACE Events (teth-r7k8) [54,169 rows]",,2026-08-01,https://data.austintexas.gov/resource/teth-r7k8.csv,08_venues_ecosystem,
City of Austin sources,City of Austin (Socrata),"2022 Austin Music Census microdata extracts: Details (an3p-3yqx) and Zip Codes (p7ky-riuq) [2,227 respondents by 107 variables]",fielded July--September 2022,2026-08-01,https://data.austintexas.gov/resource/an3p-3yqx.csv,08_venues_ecosystem,
Other states' programs and evaluations,Georgia Department of Audits and Accounts (with Georgia Southern University CBAER),Georgia Music Tax Credit: Economic and Fiscal Impact Analysis,"report dated December 8, 2023; published December 14, 2023",2026-08-01,https://www.audits.ga.gov/ReportSearch/download/30448,06_state_policy_benchmark,the single most important peer-state document: zero credits were ever awarded over the credit’s active life
Other states' programs and evaluations,Georgia Office of Planning and Budget / Georgia Southern University Fiscal Research Center,"Tax Expenditure Report, FY2025 edition",FY2025 edition; Department of Revenue data as of tax year 2021,2026-08-01,https://opb.georgia.gov/document/tax-expenditure-reports/fy-2025-tax-expenditure-report-0/download,06_state_policy_benchmark,"reports the musical credit as “(m)”, less than $1 million; superseded by the DOAA finding of exactly zero"
Other states' programs and evaluations,Georgia Office of Planning and Budget,"Tax Expenditure Report, FY2024 edition",FY2024 edition; Department of Revenue data as of tax year 2020,2026-08-01,https://open.ga.gov/openga/report/downloadFile?rid=29170,06_state_policy_benchmark,
Other states' programs and evaluations,Georgia Department of Revenue,Musical Tax Credit (program page),undated,2026-08-01,https://dor.georgia.gov/musical-tax-credit,06_state_policy_benchmark,describes the tier-1 bonus rate but not the full tier-1/tier-2 structure
Other states' programs and evaluations,Georgia Department of Revenue,Ga. Comp. R. & Regs. R. 560-7-8-.61,"2017, amended 2025",2026-08-01,https://www.law.cornell.edu/regulations/georgia/Ga-Comp-R-Regs-R-560-7-8-.61,06_state_policy_benchmark,third-party (Cornell) reproduction
Other states' programs and evaluations,Georgia Department of Economic Development,Ga. Comp. R. & Regs. R. 159-1-2-.01,"2017, amended 2025",2026-08-01,https://rules.sos.ga.gov/gac/159-1-2,06_state_policy_benchmark,official Secretary of State source
Other states' programs and evaluations,Official Code of Georgia Annotated,O.C.G.A. § 48-7-40.33 (Georgia Music Tax Credit statute),,2026-08-01,URL not recorded,06_state_policy_benchmark,full statutory text not retrieved (blocked on every mirror attempted); statutory substance reconstructed from the DOAA evaluation and the Department of Revenue/GDEcD rules above
