key,value,formatted,unit,source,note,module
"emp_payroll_pctchg_musicians_us","-28.2","-28.2%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, United States, payroll employment change 2005 to 2025: 50,410 to 36,180 jobs.","wages"
"wage_hourly_real_musicdirectors_austin_first","33.19","$33.19","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Austin MSA, median hourly wage, 2008, OEWS. Deflated from nominal 2008 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_musicdirectors_austin_last","35.48","$35.48","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Austin MSA, median hourly wage, 2021, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_musicdirectors_austin","6.9","+6.9%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Austin MSA, real median hourly wage change 2008 to 2021: $33.19 to $35.48, 2025 dollars. Actual window 2008-2021, not 2005-2025: BLS did not publish an Austin MSA hourly wage for Music Directors and Composers in every year of the full series.","wages"
"emp_payroll_musicdirectors_austin_first","90","90","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Austin MSA, OEWS payroll employment, 2009. Excludes the self-employed.","wages"
"emp_payroll_musicdirectors_austin_last","30","30","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Austin MSA, OEWS payroll employment, 2021. Excludes the self-employed.","wages"
"emp_payroll_pctchg_musicdirectors_austin","-66.7","-66.7%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Austin MSA, payroll employment change 2009 to 2021: 90 to 30 jobs. Actual window 2009-2021, not 2005-2025: BLS did not publish Austin MSA payroll employment for Music Directors and Composers in every year (occupation too small/volatile at the metro level to clear OEWS publication thresholds in every year).","wages"
"wage_hourly_real_musicdirectors_tx_first","17.3","$17.30","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Texas, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_musicdirectors_tx_last","31.53","$31.53","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Texas, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_musicdirectors_tx","82.2","+82.2%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Texas, real median hourly wage change 2005 to 2025: $17.30 to $31.53, 2025 dollars.","wages"
"emp_payroll_musicdirectors_tx_first","140","140","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Texas, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_musicdirectors_tx_last","480","480","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Texas, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_musicdirectors_tx","242.9","+242.9%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, Texas, payroll employment change 2005 to 2025: 140 to 480 jobs.","wages"
"wage_hourly_real_musicdirectors_us_first","27.61","$27.61","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, United States, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_musicdirectors_us_last","35.44","$35.44","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, United States, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_musicdirectors_us","28.3","+28.3%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, United States, real median hourly wage change 2005 to 2025: $27.61 to $35.44, 2025 dollars.","wages"
"emp_payroll_musicdirectors_us_first","8610","8,610","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, United States, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_musicdirectors_us_last","12540","12,540","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, United States, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_musicdirectors_us","45.6","+45.6%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Music Directors and Composers, United States, payroll employment change 2005 to 2025: 8,610 to 12,540 jobs.","wages"
"wage_hourly_real_soundeng_austin_first","29.79","$29.79","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Austin MSA, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_soundeng_austin_last","30.5","$30.50","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Austin MSA, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_soundeng_austin","2.4","+2.4%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Austin MSA, real median hourly wage change 2005 to 2025: $29.79 to $30.50, 2025 dollars.","wages"
"emp_payroll_soundeng_austin_first","60","60","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Austin MSA, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_soundeng_austin_last","150","150","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Austin MSA, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_soundeng_austin","150","+150.0%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Austin MSA, payroll employment change 2005 to 2025: 60 to 150 jobs.","wages"
"wage_hourly_real_soundeng_tx_first","23.97","$23.97","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Texas, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_soundeng_tx_last","26.14","$26.14","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Texas, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_soundeng_tx","9.1","+9.1%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Texas, real median hourly wage change 2005 to 2025: $23.97 to $26.14, 2025 dollars.","wages"
"emp_payroll_soundeng_tx_first","550","550","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Texas, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_soundeng_tx_last","830","830","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Texas, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_soundeng_tx","50.90000000000001","+50.9%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, Texas, payroll employment change 2005 to 2025: 550 to 830 jobs.","wages"
"wage_hourly_real_soundeng_us_first","30.45","$30.45","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, United States, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_soundeng_us_last","35.16","$35.16","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, United States, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_soundeng_us","15.5","+15.5%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, United States, real median hourly wage change 2005 to 2025: $30.45 to $35.16, 2025 dollars.","wages"
"emp_payroll_soundeng_us_first","12680","12,680","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, United States, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_soundeng_us_last","13080","13,080","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, United States, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_soundeng_us","3.2","+3.2%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Sound Engineering Technicians, United States, payroll employment change 2005 to 2025: 12,680 to 13,080 jobs.","wages"
"wage_hourly_real_graphicdesign_austin_first","30.5","$30.50","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Austin MSA, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_graphicdesign_austin_last","31.28","$31.28","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Austin MSA, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_graphicdesign_austin","2.6","+2.6%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Austin MSA, real median hourly wage change 2005 to 2025: $30.50 to $31.28, 2025 dollars.","wages"
"emp_payroll_graphicdesign_austin_first","1230","1,230","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Austin MSA, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_graphicdesign_austin_last","1880","1,880","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Austin MSA, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_graphicdesign_austin","52.8","+52.8%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Austin MSA, payroll employment change 2005 to 2025: 1,230 to 1,880 jobs.","wages"
"wage_hourly_real_graphicdesign_tx_first","29.15","$29.15","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Texas, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_graphicdesign_tx_last","28.92","$28.92","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Texas, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_graphicdesign_tx","-.8","-0.8%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Texas, real median hourly wage change 2005 to 2025: $29.15 to $28.92, 2025 dollars.","wages"
"emp_payroll_graphicdesign_tx_first","10770","10,770","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Texas, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_graphicdesign_tx_last","13670","13,670","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Texas, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_graphicdesign_tx","26.9","+26.9%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, Texas, payroll employment change 2005 to 2025: 10,770 to 13,670 jobs.","wages"
"wage_hourly_real_graphicdesign_us_first","30.45","$30.45","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, United States, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_graphicdesign_us_last","30.27","$30.27","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, United States, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_graphicdesign_us","-.6000000000000001","-0.6%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, United States, real median hourly wage change 2005 to 2025: $30.45 to $30.27, 2025 dollars.","wages"
"emp_payroll_graphicdesign_us_first","178530","178,530","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, United States, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_graphicdesign_us_last","197830","197,830","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, United States, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_graphicdesign_us","10.8","+10.8%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Graphic Designers, United States, payroll employment change 2005 to 2025: 178,530 to 197,830 jobs.","wages"
"wage_hourly_real_writers_austin_first","57.72","$57.72","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Austin MSA, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_writers_austin_last","36.24","$36.24","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Austin MSA, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_writers_austin","-37.2","-37.2%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Austin MSA, real median hourly wage change 2005 to 2025: $57.72 to $36.24, 2025 dollars.","wages"
"emp_payroll_writers_austin_first","400","400","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Austin MSA, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_writers_austin_last","420","420","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Austin MSA, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_writers_austin","5","+5.0%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Austin MSA, payroll employment change 2005 to 2025: 400 to 420 jobs.","wages"
"wage_hourly_real_writers_tx_first","36.09","$36.09","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Texas, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_writers_tx_last","33.65","$33.65","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Texas, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_writers_tx","-6.800000000000001","-6.8%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Texas, real median hourly wage change 2005 to 2025: $36.09 to $33.65, 2025 dollars.","wages"
"emp_payroll_writers_tx_first","1660","1,660","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Texas, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_writers_tx_last","2320","2,320","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Texas, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_writers_tx","39.8","+39.8%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, Texas, payroll employment change 2005 to 2025: 1,660 to 2,320 jobs.","wages"
"wage_hourly_real_writers_us_first","36.82","$36.82","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, United States, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_writers_us_last","36.98","$36.98","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, United States, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_writers_us",".4","+0.4%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, United States, real median hourly wage change 2005 to 2025: $36.82 to $36.98, 2025 dollars.","wages"
"emp_payroll_writers_us_first","43020","43,020","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, United States, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_writers_us_last","47940","47,940","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, United States, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_writers_us","11.4","+11.4%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Writers and Authors, United States, payroll employment change 2005 to 2025: 43,020 to 47,940 jobs.","wages"
"wage_hourly_real_actors_austin_first","25.6","$25.60","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Actors, Austin MSA, median hourly wage, 2013, OEWS. Deflated from nominal 2013 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_actors_austin_last","25.01","$25.01","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Actors, Austin MSA, median hourly wage, 2024, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_actors_austin","-2.3","-2.3%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Actors, Austin MSA, real median hourly wage change 2013 to 2024: $25.60 to $25.01, 2025 dollars. Actual window 2013-2024, not 2005-2025: BLS did not publish an Austin MSA hourly wage for Actors in every year of the full series.","wages"
"emp_payroll_actors_austin_first","230","230","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Actors, Austin MSA, OEWS payroll employment, 2017. Excludes the self-employed.","wages"
"emp_payroll_actors_austin_last","160","160","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Actors, Austin MSA, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
